TIC_ID,ASASSN-V,RAJ2000,DEJ2000,Vmag,Amp,Per,Type,Prob,HJD,Gaia,pmRA,pmDE,Vt,Dist,WISEA,Jmag,J-K,W1-W2,APASS,B-V,E(B-V),Ref,URL,2M,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
26489741,J192648.03+500837.6,291.70012,50.14377,9.2,0.63,NON PERIODIC,VAR,0.379,2457621.93147,,,,,,J192648.00+500844.4,6.374,0.257,0.105,,,0.078,II,https://asas-sn.osu.edu/variables/75974,2M,6.258919,-1,V,1.8199999999999994
26748620,J193115.42+491204.6,292.81426,49.20128,13.95,0.22,0.3512411,EW,1.0,2457221.92592,2129787665486224384,1.949,9.138,54.11967,1221.98,J193115.46+491204.6,12.858,0.294,0.016,14703147,0.51,0.08,VI,https://asas-sn.osu.edu/variables/AP14703147,2M,33.374593,-1,V,1.3759999999999994
27654301,J081430.77+130640.5,123.6282,13.11125,15.0,0.25,NON PERIODIC,YSO,0.409,2457113.78317,650345086128808960,-0.742,-1.412,23.62494,3124.69,J081430.92+130640.0,15.152,0.086,0.239,5332810,0.628,0.033,VI,https://asas-sn.osu.edu/variables/AP5332810,2M,21.609178,-1,V,2.423
27858644,J183542.28+325845.7,278.92616,32.97937,13.26,0.32,3.6254653,ROT,0.999,2457894.0296,2091177318245327616,-6.238,-17.106,52.59515,609.41,J183542.38+325845.7,10.777,0.818,0.021,,,0.068,II,https://asas-sn.osu.edu/variables/61261,2M,87.210269,-1,V,5.410000000000002
28304399,J195123.28+505622.7,297.847,50.93965,14.61,0.38,0.9527004,EB,0.999,2456914.82115,2087410082172278272,-4.964,-6.405,129.23797,3364.68,J195123.23+505621.4,14.329,0.187,-0.004,14343564,0.306,0.126,VI,https://asas-sn.osu.edu/variables/AP14343564,2M,33.56989,-1,V,3.0599999999999987
28944285,J084945.03-425706.4,132.43763,-42.95177,12.44,0.25,2.674174,EW,0.899,2458095.75682,5524123443615185920,-5.72,4.771,86.13507,2439.66,J084945.03-425705.9,9.727,0.658,0.023,43438816,1.197,3.086,II,https://asas-sn.osu.edu/variables/362660,2M,51.623115,-1,V,1.6449999999999996
29049712,J085013.65-465852.0,132.55687,-46.9811,14.22,0.28,0.4116828,EB,0.982,2458171.51739,,,,,,J085013.67-465851.7,12.564,0.407,-0.032,40295200,0.77,0.952,II,https://asas-sn.osu.edu/variables/414779,2M,33.892306,-1,V,2.6180000000000003
29052041,J085033.41-463143.7,132.63922,-46.5288,11.28,4.26,NON PERIODIC,GCAS,0.411,2457478.67431,5329693847558731776,-4.543,3.146,17.28301,659.83,J085033.47-463145.1,5.606,-0.161,0.091,,,2.216,II,https://asas-sn.osu.edu/variables/414257,2M,1.479081,-1,V,6.1899999999999995
29939638,J014038.19-143406.7,25.15912,-14.56853,16.4,0.5,NON PERIODIC,ROT:,0.857,2456498.03848,2453521443893654528,9.356,-6.418,13.1305,244.16,J014038.21-143406.4,12.946,0.891,0.088,16580934,,0.015,II,https://asas-sn.osu.edu/variables/173515,2M,103.662756,-1,V,3.8909999999999982
29990592,J045227.72-664357.9,73.11552,-66.73275,13.66,0.13,NON PERIODIC,L,0.983,2457448.64715,4661778088892888064,1.60601,-0.19193,94.84675,12371.32,J045227.77-664357.9,10.549,1.052,-0.198,36296936,1.782,0.269,III,https://asas-sn.osu.edu/variables/AP36296936,2M,51.304624,-1,V,2.0549999999999997
30275829,J045548.92-662559.6,73.95382,-66.43322,14.55,0.2,1.7910187,EB,0.945,2456922.78777,4662154946469937152,2.39355,0.34464,26.06815,2274.23,J045548.39-662555.2,15.77,0.62,-0.768,36300699,0.029,1.801,III,https://asas-sn.osu.edu/variables/AP36300699,2M,73.802845,-1,V,1.088000000000001
30313682,J045632.37-665419.0,74.13487,-66.90527,15.47,0.73,4.5157398,DCEP,0.994,2457148.47605,4661763142405903360,1.54993,-0.02842,52.35463,7125.09,J045632.09-665418.3,14.329,0.374,-0.045,36296744,0.591,0.166,III,https://asas-sn.osu.edu/variables/AP36296744,2M,94.173482,-1,V,4.866000000000001
30317214,J045716.88-682439.7,74.32035,-68.41103,11.11,0.23,482.2476098,GCAS:,0.44,2457848.55087,4661511457316102144,1.73,-0.084,71.04205,8653.26,J045716.86-682439.8,10.945,0.16,0.063,36294124,0.127,1.529,II,https://asas-sn.osu.edu/variables/44946,2M,58.247959,-1,V,2.0410000000000004
30562668,J085706.70-431351.0,134.27793,-43.23084,11.31,0.06,NON PERIODIC,ROT:,0.561,2458241.6518,5332088205907854336,-5.692,5.324,36.44439,986.51,J085706.71-431351.2,10.703,0.272,-0.035,40327514,0.21,4.021,II,https://asas-sn.osu.edu/variables/362926,2M,91.75362,-1,V,4.000000000000001
30569481,J085746.54-430840.3,134.44391,-43.14452,14.25,0.2,NON PERIODIC,YSO,0.776,2457853.58124,5332095215294867456,-5.573,5.304,33.41336,916.25,J085746.54-430840.1,12.402,1.291,0.492,40327572,1.085,2.563,II,https://asas-sn.osu.edu/variables/361091,2M,87.825348,-1,V,5.135999999999999
30631031,J050031.84-703652.1,75.13265,-70.61448,14.96,0.62,886.8397611,SR,0.975,2458355.84901,4655052341901667328,2.01,-0.131,75.43785,7901.23,J050031.82-703652.1,11.946,1.41,-0.08,,,0.135,VI,https://asas-sn.osu.edu/variables/J050031.84-703652.1,2M,51.169056,-1,V,7.370000000000001
30718115,J050223.99-662035.1,75.59996,-66.34308,13.82,0.1,4.6059291,DCEP,0.436,2458382.83554,,,,,,J050224.30-662034.9,12.133,0.601,-0.133,36300192,1.234,0.119,III,https://asas-sn.osu.edu/variables/AP36300192,2M,89.494829,-1,V,1.5389999999999997
30756681,J050206.10-694529.8,75.52542,-69.75828,13.45,0.14,392.8903486,SR,0.982,2457420.6417,4655196962057259008,1.20148,0.24003,45.17557,7778.76,J050205.98-694530.3,10.201,1.05,-0.171,36243313,1.969,0.159,III,https://asas-sn.osu.edu/variables/AP36243313,2M,97.085519,-1,V,1.5789999999999988
31062736,J090022.99-431026.3,135.09581,-43.17397,7.38,1.67,NON PERIODIC,GCAS,0.384,2458096.82875,,,,,,J090022.25-431026.2,6.181,0.133,0.368,40327824,-0.062,1.076,II,https://asas-sn.osu.edu/variables/408430,2M,8.084216,-1,V,1.3399999999999999
