tic_id,best_subject_id,best_subject_sector,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at,best_subject_img_id,num_subjects,sectors,subject_ids
240962482,39493182,18,2,2,0,2,2,2020-01-22 15:28:58.750000+00:00,a70e29fb-14c5-4c06-9c2f-61d00e14173e,1,18,39493182
241013310,39494106,18,3,3,0,3,3,2020-01-22 16:46:07.922000+00:00,0b9dfd51-3958-4f7b-8f74-be3d57368465,2,"18,17","39494106,38690912"
241017747,39479084,18,3,3,0,3,3,2020-01-19 17:30:55.595000+00:00,5af66f69-2966-4934-bcb5-8036d250cc14,2,"18,17","39479084,38699426"
241078868,39493032,18,1,1,0,1,1,2020-01-12 02:43:07.868000+00:00,fd9414c3-7179-4eac-8e3f-7c94b6d272a1,1,18,39493032
241289894,34556160,11,1,1,0,2,2,2019-07-08 16:22:03.541000+00:00,43d59091-db91-4b42-919b-b9b36104ed9c,1,11,34556160
241299185,64595666,38,1,1,0,1,1,2021-07-23 13:12:50.757000+00:00,7575adc7-12ce-4adf-b50a-b4311125aefc,1,38,64595666
241393039,29680876,3,2,2,0,3,3,2019-02-01 02:28:42.352000+00:00,a5c2fe13-91f9-4374-b3de-5b0f4356fe5f,2,"3,3","29680876,29680879"
241445833,52584159,30,4,4,0,4,4,2020-12-04 17:45:16.236000+00:00,56249353-855c-476d-881a-7e7a0457b767,1,30,52584159
241532550,64616262,38,5,7,2,8,8,2021-07-31 15:03:06.363000+00:00,bd35c20f-c26b-4343-a29c-a0993e66f907,2,"38,11","64616262,34555092"
241535771,64596790,38,1,1,0,1,1,2021-07-25 19:22:10.352000+00:00,aabf38a1-4f52-4486-9811-e7a9a6c65684,1,38,64596790
241539145,29715826,3,-4,1,5,6,7,2019-01-30 19:23:33.995000+00:00,2adba877-c9b9-4f34-8f30-459ff5cea813,1,3,29715826
241578867,29706687,3,1,1,0,3,3,2019-01-31 20:06:42.177000+00:00,903a983b-58ef-41ab-bb24-683e78ce0dc9,3,"3,3,3","29706687,29706694,29706703"
241582805,64591233,38,2,4,2,4,4,2021-07-28 17:35:09.279000+00:00,a2299b95-feb1-4523-b80b-5eb6f19ebad5,1,38,64591233
241629469,64591494,38,3,3,0,4,4,2021-07-27 14:24:27.106000+00:00,46753db1-a8bc-40e1-9dcd-18fd6dd63e35,1,38,64591494
241652568,34551342,11,1,1,0,1,1,2020-04-08 20:34:39.977000+00:00,3d6b5c09-6e0e-4a47-a7c3-c17fa0f01937,1,11,34551342
241671730,52593349,30,4,4,0,4,4,2020-12-03 09:25:22.451000+00:00,7dde5af7-b6d1-46c4-8b00-95bfaaba5ee8,1,30,52593349
241672964,29716796,3,1,1,0,1,1,2019-01-27 01:17:17.545000+00:00,ef90abd1-7c38-4cfc-bf23-cf6c41030257,1,3,29716796
241673133,52570612,30,4,4,0,5,5,2020-12-06 09:19:46.043000+00:00,9f8ee1c8-f2d1-4312-8fe3-e3d823b4f235,1,30,52570612
241685708,64616743,38,1,1,0,1,1,2021-07-24 19:22:15.674000+00:00,4749e468-7d27-47c1-8d20-1e1917f3bacd,1,38,64616743
241702109,64612939,38,1,1,0,1,1,2021-07-22 19:24:19.824000+00:00,5e8f6190-f4a4-45ab-91ad-c6ddf6fff8b4,1,38,64612939
241710866,64599768,38,0,1,1,2,2,2021-07-26 13:02:03.683000+00:00,a08c2fb4-8824-4144-9b29-9076a55a72ba,1,38,64599768
241738495,64606755,38,1,1,0,1,1,2021-07-23 12:53:12.696000+00:00,558ced24-6030-45dd-89e9-b64d2b7675e6,1,38,64606755
241739877,64615997,38,0,1,1,2,2,2021-07-24 19:14:51.928000+00:00,d2319e68-5d0c-41bf-a95d-0d1ce9f4b92f,1,38,64615997
241750015,64610942,38,2,2,0,4,4,2021-08-02 21:47:24.731000+00:00,ee7612f9-2d4d-4a32-9ef5-8ae14e8a6324,1,38,64610942
241751294,34475180,11,1,1,0,1,1,2019-07-10 02:17:45.548000+00:00,e79b04c3-7d9d-49f5-b89d-16e7d449e9ef,1,11,34475180
241787384,34475732,11,1,1,0,1,1,2019-07-05 12:21:20.991000+00:00,16a9e85f-f1c2-43e1-80f4-69b98dbe9dc3,1,11,34475732
241825308,34493455,11,1,1,0,1,1,2019-07-13 21:55:06.495000+00:00,8a80308d-4919-4212-af1f-1a0cdbb02299,1,11,34493455
241828146,64612844,38,1,1,0,1,1,2021-07-22 19:53:20.243000+00:00,6e27937c-d104-4c38-94dc-656408f5b346,1,38,64612844
241843363,34471697,11,1,1,0,1,1,2019-07-07 15:04:44.074000+00:00,e6288245-482c-423d-a972-84091faa31d4,1,11,34471697
241862777,56961888,33,2,2,0,2,2,2021-02-15 14:43:41.603000+00:00,62d2d111-998a-4f79-b4c5-7d4383ab1415,1,33,56961888
241914966,56965775,33,2,2,0,3,3,2021-02-16 00:30:14.790000+00:00,39e4cfbb-680a-4af9-b65d-88de658d7ce1,1,33,56965775
241986937,56957840,33,2,2,0,3,3,2021-02-16 19:46:52.106000+00:00,db38f047-db55-4db5-b172-833b6cca6552,1,33,56957840
242111232,64599149,38,3,3,0,3,3,2021-07-25 16:38:10.948000+00:00,0c4270e4-09ec-4bc0-b1a7-76c2ce36b22b,1,38,64599149
242126596,64606169,38,3,3,0,4,4,2021-08-04 13:42:27.257000+00:00,b2d8f597-63f8-4361-a873-aea1f784f674,1,38,64606169
242140438,64590843,38,2,4,2,6,6,2021-08-04 21:26:00.157000+00:00,b9b6fa5e-11ba-4b5b-9ed6-c05acbac73c5,1,38,64590843
242149417,34488526,11,1,1,0,2,2,2020-04-08 16:51:40.469000+00:00,5194fe64-c448-44ea-8985-12e15298076c,1,11,34488526
