MAIN_ID,TIC_ID,OTYPES,V__vartyp,V__LoVmax,V__Vmax,V__R_Vmax,V__magtyp,V__UpVmin,V__Vmin,V__R_Vmin,V__UpPeriod,V__period,V__R_period,V__epoch,V__R_epoch,V__D_rt,V__R_D_rt,V__bibcode,RA,DEC,PLX_VALUE,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_R,FLUX_G,FLUX_J,IDS,angDist,Match_Method,Match_Score,Match_Mag,Match_PM,Match_Plx,Match_Aliases,Match_Mag_Band,Match_Mag_Diff,Match_PMRA_DiffPct,Match_PMDEC_DiffPct,Match_Plx_DiffPct,Match_Aliases_NumMatch
ATO J055.2671-03.2995,10937009,HB*|Pu*|RR*|*|IR|RR?,PULS,,15.545746,,o,,16.089855,,,,,,,,,2018AJ....156..241H,55.26717468726,-3.29955935944,,-1.097,-4.196,,16.05,,15.996449,14.844,ATO J055.2671-03.2995|CHSS 3961|2MASS J03410412-0317583|TIC 10937013|[DCD2013] CSS J034104.1-031757|Gaia DR2 3249756634805816448|Gaia EDR3 3249756634805816448,18.066362,co,-4,F,F,-,F,Vmag,3.41,95.74723783679008,80.09024868209404,,0
ATO J122.2488-18.3787,11070365,V*|*|IR,SIN,,15.422402,,o,,15.60114,,,,,,,,,2018AJ....156..241H,122.2488537701258,-18.3787263032136,0.2418,-1.838,-2.486,17.177,16.038,15.581,15.693561,13.774,ATO J122.2488-18.3787|2MASS J08085972-1822433|UCAC4 359-043564|WISE J080859.72-182243.4|Gaia EDR3 5713938148878715008,141.923965,co,-1,T,F,F,F,Vmag,0.9720000000000012,43.80923265056557,94.82531805768336,96.32696400333582,0
ATO J122.5334-22.1020,11171398,*|EB?|IR,EW:,,14.816541,,o,,15.036271,,,,,,,,,2018AJ....156..241H,122.5335092220071,-22.1020346711919,0.689,-3.494,1.104,16.131,15.239,15.136,15.053201,13.701,ATO J122.5334-22.1020|2MASS J08100804-2206073|UCAC4 340-043928|WISE J081008.03-220607.3|Gaia EDR3 5700660824420161024,27.628715,co,-1,T,F,F,F,Vmag,0.0509999999999983,103.00548798320918,101.32458276842596,93.05233437531513,0
TYC 6000-2172-1,11177996,*|IR,,,,,,,,,,,,,,,,,122.59453460229,-18.51069028194,0.7769,-2.508,2.76,12.26,12.21,,12.098381,11.678,2MASS J08102268-1830385|TIC 11178037|TYC 6000-2172-1|Gaia DR2 5713919560260359168|Gaia EDR3 5713919560260359168,93.040555,co,-1,T,F,F,F,Vmag,0.3949999999999996,64.98914545095718,1167.54935864758,39.055672788032346,0
TYC 6000-1930-1,11178319,*|IR,,,,,,,,,,,,,,,,,122.48971051651,-18.37537984069,2.7735,-13.452,-0.191,10.87,10.31,,10.272128,9.406,GSC 06000-01930|2MASS J08095752-1822314|TIC 11178276|TYC 6000-1930-1|Gaia DR2 5713936121654078848|Gaia EDR3 5713936121654078848|Gaia DR1 5713936117351843712,139.277677,co,-4,F,F,-,F,Vmag,2.8934,55.24936034078225,101.92716331649672,,0
ATO J030.1093+60.0239,11437325,*|EB?|IR,EA:,,16.235134,,o,,16.69137,,,,,,,,,2018AJ....156..241H,30.10929247427,60.0239878183025,0.3789,1.073,-0.106,,,,16.691683,14.976,ATO J030.1093+60.0239|2MASS J02002625+6001263|WISE J020026.22+600126.0|Gaia EDR3 507943967966883584,75.207887,co,-4,F,F,-,F,GAIAmag,4.668083000000001,98.99766464269034,99.60329341317365,,0
6dFGS gJ060233.5-012018,11756637,*|G,,,,,,,,,,,,,,,,,90.63967858839,-1.33823952294,,,,19.17,,17.13,21.13495,13.761,6dFGS gJ060233.5-012018|2MASX J06023351-0120176|Gaia EDR3 3026028455464130304,117.709033,co,-3,F,-,-,F,Tmag,4.229999999999999,,,,0
HD  84518,11932335,*|IR,,,,,,,,,,,,,,,,,146.25201325158,-32.11999723791,1.1846,-20.155,22.09,9.68,9.55,,9.544027,9.23,CD-31  7597|CPC 17  4681|CPD-31  2855|GSC 07172-01878|HD  84518|2MASS J09450047-3207120|PPM 286840|SAO 200693|TIC 11970587|TYC 7172-1878-1|Gaia DR2 5439820451141721984|Gaia EDR3 5439820451141721984|Gaia DR1 5439820446843840640,111.329306,co,-5,F,F,F,F,Vmag,4.481999999999999,62.37499556639119,258.3092656428044,87.57079693372421,0
TYC 7176-282-1,12007147,*|IR,,,,,,,,,,,,,,,,,146.42489937751,-34.86517571372,0.5694,-10.287,6.317,12.86,12.61,,12.21902,11.391,2MASS J09454197-3451545|TIC 12007155|TYC 7176-282-1|Gaia DR2 5438156439073858432|Gaia EDR3 5438156439073858432|Gaia DR1 5438156439073858432,89.989737,co,-1,T,F,F,F,Vmag,0.1429999999999989,81.45209856153244,165.25698359226422,90.30849751074425,0
,12012992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
