TIC_ID,OID,n_OID,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,l_Period,Period,u_Period,RAJ2000,DEJ2000,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
314527844,412826,B,ASAS J161808-5134.4,0,MISC,,7.822,,Ic,(,,0.117,,Ic,,73.74,,244.53301,-51.5737,81.282317,-1,T,2.4822999999999995
316182273,633642,B,WISE J215301.6+553417,0,EA,,15.661,,g,(,,0.286,,g,,1.732444,,328.25681,55.57161,86.598414,-1,B,3.4480000000000004
316284824,317439,B,OGLE-GD-ECL-11159,0,EC,,18.755,,Ic,(,,0.402,,Ic,,0.30328922,,203.42913,-63.99711,16.776732,-1,T,8.4612
316729474,230263,,NSVS 3283507,0,EA,,11.51,,R1,(,,0.47,,R1,,5.05510256,,322.21866,57.5522,57.060786,-1,GAIA,3.6986000000000008
317015040,1547577,,BMAM-V748,0,EA,,12.72,,V,,,13.18,,V,,19.8478,,332.84433,71.86667,41.775052,-1,V,2.1430000000000007
317439826,1608627,,ZTF J034345.70+572507.2,0,EW,,19.471,,r,(,,0.537,,r,,0.3604006,,55.94042,57.41867,49.538997,-1,GAIA,7.5237
317506953,558312,B,ASASSN-V J232345.59+770227.9,0,EW,,14.14,,V,,,14.52,,V,,0.273971,,350.93995,77.04109,103.481449,-1,V,4.954000000000001
317506954,558312,B,ASASSN-V J232345.59+770227.9,0,EW,,14.14,,V,,,14.52,,V,,0.273971,,350.93995,77.04109,108.748558,-1,V,4.741000000000001
318512022,435673,B,GDS_J1133176-634447,0,VAR,,13.48,,r,(,,1.19,,r,,,,173.32358,-63.74643,28.213496,-1,GAIA,3.7041700000000013
318670318,144484,B,V1228 Cen,0,BCEP,,9.55,,V,(,,0.04,,V,,0.16848,,173.32508,-63.1045,26.69949,-1,V,3.561
318986273,435499,B,GDS_J1133492-620521,0,VAR,,11.41,,r,(,,0.17,,r,,,,173.45501,-62.08924,28.80926,-1,GAIA,2.289299999999999
319936861,57260,B,NSV 18825,1,,,10.83,,V,(,,0.09,,V,,,,174.56667,-63.39056,25.776303,-1,V,2.322000000000001
320380142,1557651,,ZTF J003059.94+584351.0,0,BY,,18.755,,r,(,,0.181,,r,,1.4346614,,7.74978,58.73086,85.51797,-1,GAIA,5.748399999999998
320851362,639553,B,WISE J113948.3-644254,0,EW|EA,,12.372,,W1,(,,0.399,,W1,,0.4744127,,174.95144,-64.71524,50.800232,-1,w1,5.048
321857016,638387,B,WISE J213144.0+662159,0,EW,,12.258,,W1,(,,0.185,,W1,,0.539894,,322.93338,66.36655,64.681621,-1,w1,2.199
322055767,2141639,,ZTF J213535.37+674831.2,0,EW,,14.935,,r,(,,0.245,,r,,0.3775002,,323.89739,67.80869,21.786318,-1,GAIA,4.3902
322523216,476517,,SvkV89,0,E,,12.8,,CR,,,13.2,,CR,,0.841302,,279.07041,24.88674,24.10626,-1,T,2.298400000000001
322985477,57316,B,NSV 18881,1,L:,,12.36,,Ic,,,,,,,,,176.29458,-61.73361,39.080576,-1,T,1.9557000000000002
323727556,629405,B,WISE J091033.3-792209,0,EA,,9.433,,W1,(,,0.257,,W1,,4.0073218,,137.63881,-79.36923,56.686555,-1,w1,1.9939999999999998
325980188,442198,B,GDS_J1359444-633451,0,VAR,,12.88,,i,(,,0.47,,i,,,,209.93504,-63.58086,40.403956,-1,T,1.1897000000000002
327166211,441990,B,GDS_J1401136-612809,0,VAR,,14.26,,r,(,,0.27,,r,,,,210.30669,-61.46929,60.73473,-1,GAIA,1.0043000000000006
327924174,704249,,ASASSN-V J124007.72-662042.9,0,HADS,,13.5,,V,,,13.66,,V,,0.116141,,190.03216,-66.34525,37.264507,-1,V,2.2799999999999994
328165300,2180392,,ZTF J220624.01+552156.3,0,RS,,15.536,,r,(,,0.047,,r,,1.6297354,,331.60007,55.36566,49.549289,-1,GAIA,3.690299999999999
328417482,2153171,,ZTF J220719.12+544847.4,0,EW,,18.611,,g,(,,0.652,,g,,0.4373912,,331.82969,54.81319,94.195749,-1,B,3.3500000000000014
328483577,442031,B,GDS_J1404517-611557,0,VAR,,17.22,,r,(,,1.89,,r,,,,211.21548,-61.26602,0.242166,-1,GAIA,3.9267999999999983
328866871,2153622,,ZTF J220908.24+554214.8,0,EW,,17.229,,r,(,,0.091,,r,,0.365391,,332.28435,55.70412,100.49834,-1,GAIA,2.9284999999999997
330791148,582032,B,ASASSN-V J141532.69-495700.1,0,L,,13.86,,V,,,14.32,,V,,,,213.88621,-49.95003,57.182224,-1,V,1.104000000000001
332624864,14950,B,DQ Her,0,NB/DQ+EA,,1.3,,V,,,18.08,,V,,0.1936209219,,271.87605,45.85905,0.018136,-1,V,13.596
