TIC_ID,OID,n_OID,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,l_Period,Period,u_Period,RAJ2000,DEJ2000,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
4200337,371037,B,CSS_J052244.8-010231,0,BY,,16.164,,g,(,,0.71,,g,,8.1641168,,80.68707,-1.04228,0.022378,1,g,0.04749999999999943
4206238,477941,B,PDS 110,0,E+TTS,,10.4,,V,,,10.75,,V,,808.6,,80.87921,-1.07325,0.000344,1,V,0.010999999999999233
4254645,24714,B,eta Ori,0,EA+BCEP:,,3.31,,V,,,3.6,,V,,7.989268,,81.11925,-2.39714,0.03514,1,V,0.03200000000000003
4616072,1546401,,HATS-45,0,EP,,13.33,,V,(,,0.01,,V,,4.1876244,,101.99426,-21.91073,0.010593,1,V,0.005000000000000782
4629065,74754,B,ASAS J023130-0903.5,0,ED,,11.35,,V,(,,0.2,,V,,5.896722,,37.87421,-9.05942,0.105554,1,V,0.0129999999999999
4713510,5271,B,CR CMa,0,EB/SD,,12.1,,pg,,,13.1,,pg,,0.624141545,,109.50892,-19.68269,114.541725,1,B,0.4969999999999999
4723156,2213895,,MNIC V147,0,EA+UV,,15.63,,V,(,,0.86,,TESS,,9.49047,,39.44233,-7.09681,0.099284,1,V,0.0010000000000012221
4735737,44113,B,NSV 5489,1,E:,,9.56,,V,,,9.9,,V,,,,182.80792,29.10758,0.014004,1,V,0.057000000000000384
4742129,74832,B,ASAS J023909-1027.8,0,EA,,12.34,,V,(,,0.63,,V,,1.03598,,39.78646,-10.46292,0.081685,1,V,0.0
4783276,730286,,ASASSN-V J071829.00-201900.0,0,EA,,12.35,,V,,,12.54,,V,,2.1689,,109.62082,-20.31668,0.010769,1,V,0.02099999999999902
4970499,179383,B,[PK2008] J092751.93-391052.3,0,CV,,16.2,,R,,,,,,,0.1721,,141.96638,-39.18119,0.40516,1,GAIA,0.26580000000000226
5001059,1504729,,ASASSN-V J070946.79-011513.7,0,EA,,11.39,,V,,,11.55,,V,,23.129,,107.44495,-1.25382,0.011809,1,V,0.2599999999999998
5051080,643463,B,WISE J071940.5-215322,0,EW,,12.74,,W1,(,,0.524,,W1,,0.2877429,,109.91913,-21.8895,0.341367,1,w1,0.06900000000000084
5205367,14820,B,Z Her,0,EA/AR/RS,,7.3,,V,,,8.18,,V,,3.9928077,,269.52908,15.13942,0.007609,1,V,0.05999999999999961
5283033,19581,B,V0753 Mon,0,EW,,8.3,,V,,,8.81,,V,,0.677045,,107.74104,-3.87867,0.111338,1,V,0.02999999999999936
5364915,2213486,,KELT KS22C001316,3,EA,,8.16,,V,(,,0.022,,V,,11.14444,,139.21,-21.9545,0.726242,1,V,0.019999999999999574
5480687,90548,B,ASAS J095755-2128.8,0,ESD|RRC|EC,,10.07,,V,(,,0.09,,V,,0.77836,,149.4808,-21.4799,0.157402,1,V,0.03999999999999915
5656273,1056,B,HK Aqr,0,BY+UV,,10.72,,V,,,10.94,,V,,0.431,,347.08142,-15.40994,0.149753,1,V,0.15700000000000003
5713097,94304,B,ASAS J115634-1803.9,0,EC|ESD,,11.49,,V,(,,0.26,,V,,0.415976,,179.14288,-18.06483,0.089369,1,V,0.12299999999999933
5795305,122941,B,ASAS J231500-1502.8,0,EW/RS,,10.73,,V,,,11.12,,V,,0.373882,,348.75038,-15.04678,0.058176,1,V,0.33199999999999896
5917423,476842,B,HD 59021,0,ACV,,9.7,,V,,,9.72,,V,,2.29219,,111.92883,-11.79603,0.079841,1,V,0.021000000000000796
5981829,411886,B,ASAS J125445-2118.7,0,ESD|ED,,8.964,,Ic,(,,0.137,,Ic,,1.79908,,193.68569,-21.31097,0.168573,1,T,0.13459999999999894
