TIC,m_TIC,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,Sectors,UpDate,tesseb_source
101767283,1,1984.502269,8.19767e-05,1.8759542,5.6085868e-06,0.666,0.103,0.064,1.0,0.1,0.057,0.5,0.1594,0.094,1.0,0.173,0.085,0.5,"25,26",2021-09-16T17:41:33,J/ApJS/258/16/tess-ebs
101845679,1,1654.689248,0.0004560797,1.2811036,2.0557473e-05,0.405,0.054,0.014,1.0,0.052,0.012,0.5,0.0798,0.015,0.9998,0.074,0.012,0.4999,13,2021-09-16T17:37:01,J/ApJS/258/16/tess-ebs
102169275,1,1571.750903,0.0008706146,13.099714,1.0112755e-05,0.196,0.014,0.015,0.4995,0.014,0.015,1.0,0.02528,0.024,0.0001411,0.025,0.024,0.5,"10,37",2021-09-16T17:36:34,J/ApJS/258/16/tess-ebs
102195674,1,1547.46366,0.0006139196,8.7572,4.8393828e-05,0.246,0.021,0.039,0.5024,,,,0.03084,0.035,0.9998,0.027,0.032,0.4992,"9,36",2021-09-16T17:39:00,J/ApJS/258/16/tess-ebs
102643159,1,1628.503081,0.3290418,1.7769154,0.0075800869,0.559,0.341,0.046,0.8277,,,,0.1674,0.018,0.01314,0.194,0.011,0.5004,"12,39",2021-09-16T17:36:50,J/ApJS/258/16/tess-ebs
102691227,1,1546.367872,5.760264e-05,2.4197641,1.1612189e-05,0.435,0.045,0.071,1.0,0.045,0.061,0.5,0.06689,0.08,1.0,0.066,0.071,0.5,9,2021-09-16T17:38:59,J/ApJS/258/16/tess-ebs
102764828,1,1544.639402,0.09128926,0.6726622,6.4519301e-06,0.701,,,0.9698,,,0.561,0.3499,0.018,0.01149,0.359,0.007,0.5192,"9,10,36",2021-09-16T17:36:26,J/ApJS/258/16/tess-ebs
102841799,1,1847.335232,0.0003597334,5.2629645,0.00022762482,0.495,0.023,0.044,0.9999,0.342,0.011,0.638,0.04188,0.07,0.9999,,,,20,2021-09-16T17:38:45,J/ApJS/258/16/tess-ebs
102929927,1,1688.250936,0.0003875919,5.5293298,8.740011e-06,0.17,0.021,0.02,1.0,0.021,0.011,0.502,0.02931,0.021,1.0,0.029,0.011,0.5024,"14,20",2021-09-16T17:37:07,J/ApJS/258/16/tess-ebs
102978235,1,1546.495335,0.00127562,3.6841111,1.0889819e-05,0.471,0.043,0.023,1.0,,,,0.0688,0.03,0.0004844,0.066,0.015,0.5003,"9,36",2021-09-16T17:39:00,J/ApJS/258/16/tess-ebs
