ASASSN-V,URL,TIC_ID,Is_EB,Type,Prob,Per,angDist,Match_Score
J185405.14-513058.6,https://asas-sn.osu.edu/variables/199058,6400274,-,VAR,0.742,NON PERIODIC,2.005702,2
J162637.30-504248.4,https://asas-sn.osu.edu/variables/356250,6631253,-,VAR,0.296,NON PERIODIC,1.254187,4
J002523.86-465525.4,https://asas-sn.osu.edu/variables/99101,7203983,F,ROT:,0.385,NON PERIODIC,7.632314,0
J073506.68-090546.3,https://asas-sn.osu.edu/variables/412669,7211118,-,VAR,0.319,NON PERIODIC,1.877567,4
J052049.35-454130.2,https://asas-sn.osu.edu/variables/56267,7320873,F,ROT,0.999,0.6253579,0.326853,3
J052418.45-461409.1,https://asas-sn.osu.edu/variables/58122,7418947,F,ROT:,0.334,NON PERIODIC,78.345886,0
J042235.29-412900.6,https://asas-sn.osu.edu/variables/135962,7695666,-,VAR,0.758,544.8437257,0.858648,4
J042538.82-380334.1,https://asas-sn.osu.edu/variables/78555,7724421,-,VAR,0.276,NON PERIODIC,1.165406,4
J153554.21-335625.2,https://asas-sn.osu.edu/variables/431897,7791094,-,VAR,0.298,NON PERIODIC,1.897623,4
J043053.71-411028.9,https://asas-sn.osu.edu/variables/136675,7808834,-,GCAS,0.286,NON PERIODIC,4.52947,1
J182138.33+421004.6,https://asas-sn.osu.edu/variables/53999,7849727,-,VAR,0.468,93.3342546,3.107975,4
J182101.87+443842.6,https://asas-sn.osu.edu/variables/81148,7851729,T,EA,1.0,1.2525927,0.937672,4
J182211.58+473408.9,https://asas-sn.osu.edu/variables/81042,7854182,-,VAR,0.374,NON PERIODIC,1.391382,4
J153816.23-322923.7,https://asas-sn.osu.edu/variables/431906,8008612,F,ROT:,0.333,NON PERIODIC,0.887744,4
J103205.72-020940.0,https://asas-sn.osu.edu/variables/337670,8070739,F,ROT:,0.262,NON PERIODIC,1.934029,4
J102102.67+413650.9,https://asas-sn.osu.edu/variables/116809,8152515,F,ROT:,0.467,NON PERIODIC,0.653518,4
J102926.74+394608.8,https://asas-sn.osu.edu/variables/118800,8245065,-,VAR,0.755,NON PERIODIC,0.523215,4
J162406.51+344241.2,https://asas-sn.osu.edu/variables/61214,8417276,T,EB,0.998,0.4226042,0.805084,4
J162437.78+345722.4,https://asas-sn.osu.edu/variables/61111,8444713,F,ROT:,0.565,NON PERIODIC,1.817242,4
J163205.51+302309.5,https://asas-sn.osu.edu/variables/AP8115731,8592033,T,EA,0.998,4.3433146,0.251803,4
J163307.67+333125.6,https://asas-sn.osu.edu/variables/52568,8624617,T,EA,1.0,4.9053516,0.298831,4
J163329.10+302956.2,https://asas-sn.osu.edu/variables/91079,8669966,F,ROT:,0.289,NON PERIODIC,0.541946,4
J090948.45+302537.8,https://asas-sn.osu.edu/variables/136656,8677671,-,VAR,0.339,NON PERIODIC,2.173026,4
J092128.41+332557.9,https://asas-sn.osu.edu/variables/107310,8769657,T,EA,0.974,0.4264744,1.072654,4
J093132.35+350609.6,https://asas-sn.osu.edu/variables/109103,8865471,F,L,0.911,NON PERIODIC,2.268149,1
J233916.18-090905.4,https://asas-sn.osu.edu/variables/AP16545738,8989778,T,EW,1.0,0.612805,0.213249,4
J144717.26+315030.5,https://asas-sn.osu.edu/variables/79625,9036901,T,EA,1.0,3.4129568,3.518804,4
J234438.82-085055.1,https://asas-sn.osu.edu/variables/417200,9054370,F,ROT:,0.295,NON PERIODIC,0.720262,4
J232025.64-192505.5,https://asas-sn.osu.edu/variables/566334,9057422,-,VAR,0.661,711.5181707,1.522278,4
J144831.19+350318.3,https://asas-sn.osu.edu/variables/53606,9058724,-,VAR,0.497,835.1113456,2.291495,4
J234718.33-080509.5,https://asas-sn.osu.edu/variables/205509,9070070,-,VAR,0.403,NON PERIODIC,2.620804,4
J232608.55-192223.2,https://asas-sn.osu.edu/variables/425229,9146275,-,VAR,0.293,NON PERIODIC,1.037506,4
J040813.78-054524.7,https://asas-sn.osu.edu/variables/AP23045673,9172417,T,EW,0.85,0.2451896,0.924774,4
J233101.56-192922.1,https://asas-sn.osu.edu/variables/409449,9216075,-,VAR,0.716,479.730173,2.020943,4
J045304.48-070023.8,https://asas-sn.osu.edu/variables/144071,9380768,T,EA,0.997,1.6222239,0.856718,4
J045331.56-064144.8,https://asas-sn.osu.edu/variables/144109,9381557,T,EA,0.974,11.8204643,0.68047,4
J124612.59-253336.3,https://asas-sn.osu.edu/variables/AP26123680,9384580,T,EW,0.998,0.3145114,0.254694,2
J111027.06+363244.2,https://asas-sn.osu.edu/variables/118931,9391285,F,ROT:,0.667,NON PERIODIC,1.642951,1
J121254.27+363341.8,https://asas-sn.osu.edu/variables/600213,9461737,T,EA,0.999,0.6369238,0.123318,4
J171335.37+304236.1,https://asas-sn.osu.edu/variables/AP8191552,9473243,T,EA,0.983,4.5338153,0.065435,4
J234846.04-080845.7,https://asas-sn.osu.edu/variables/205050,9632550,-,VAR,0.495,NON PERIODIC,1.204616,4
J162740.06-491027.1,https://asas-sn.osu.edu/variables/355195,9677272,F,ROT:,0.742,235.9177662,5.706763,1
J162737.83-491042.2,https://asas-sn.osu.edu/variables/357077,9692649,T,EA,0.853,0.974,0.30178,4
J172045.59+340721.5,https://asas-sn.osu.edu/variables/AP8196670,9729491,F,ROT,0.98,5.5414721,110.914195,4
J031251.95-074420.5,https://asas-sn.osu.edu/variables/AP37866117,9845586,T,EW,1.0,0.3601098,0.37032,4
J031528.81-114612.4,https://asas-sn.osu.edu/variables/198172,9886075,-,VAR,0.382,NON PERIODIC,1.459684,4
J032122.58-101705.7,https://asas-sn.osu.edu/variables/197882,9945183,T,EA,0.999,1.5575763,0.489079,0
J113536.81+384557.4,https://asas-sn.osu.edu/variables/109226,10111251,F,RRC,0.676,0.2693019,0.936422,4
J175056.59+333245.1,https://asas-sn.osu.edu/variables/52196,10393493,T,EW,1.0,0.3604645,0.74058,4
J003655.17-055226.7,https://asas-sn.osu.edu/variables/187966,10756751,-,VAR,0.297,NON PERIODIC,0.600706,4
J014100.71-064334.4,https://asas-sn.osu.edu/variables/193224,10838695,-,VAR,0.296,NON PERIODIC,0.250076,4
J034104.33-031750.8,https://asas-sn.osu.edu/variables/269238,10937009,-,VAR,0.745,NON PERIODIC,9.844014,2
J034448.91-030444.4,https://asas-sn.osu.edu/variables/270433,11002748,T,EB,1.0,0.7787411,1.776751,4
J044954.85-022836.8,https://asas-sn.osu.edu/variables/198024,11083205,F,ROT:,0.31,NON PERIODIC,1.880804,4
J201538.14+364737.0,https://asas-sn.osu.edu/variables/APO396,11113164,T,EA,0.882,2.83878,0.198906,4
J201517.64+373142.7,https://asas-sn.osu.edu/variables/205590,11119600,T,EA,0.838,1.2211752,1.476995,4
J081021.08-183208.7,https://asas-sn.osu.edu/variables/AP46482530,11177996,T,EB,1.0,1.6191166,0.116368,4
J053805.19-011520.4,https://asas-sn.osu.edu/variables/265980,11199521,-,VAR,0.34,NON PERIODIC,1.588041,4
J053845.00-023555.0,https://asas-sn.osu.edu/variables/263711,11286198,-,VAR,0.321,NON PERIODIC,6.335705,2
J053847.21-023540.5,https://asas-sn.osu.edu/variables/266308,11286209,F,SXARI,,NON PERIODIC,0.085272,0
J053927.06-034705.0,https://asas-sn.osu.edu/variables/265847,11294988,F,ROT:,0.887,NON PERIODIC,0.841276,4
J020033.42+600032.3,https://asas-sn.osu.edu/variables/AP4335471,11437325,T,EA,0.987,1.1466923,1.193218,0
J201556.85+373029.8,https://asas-sn.osu.edu/variables/205448,11480287,T,EA,0.841,2.3169535,1.189032,4
J201556.01+372715.7,https://asas-sn.osu.edu/variables/205524,11480757,T,EW,1.0,0.4041591,0.852616,4
J011040.11-281352.6,https://asas-sn.osu.edu/variables/AP37542799,11487334,T,EB,0.991,0.3838224,0.03811,4
J062625.79+561708.4,https://asas-sn.osu.edu/variables/122921,11491822,-,GCAS,0.29,NON PERIODIC,2.129419,4
J011240.59-291046.2,https://asas-sn.osu.edu/variables/92838,11518868,F,ROT:,0.695,NON PERIODIC,0.898077,4
J011600.59-254233.1,https://asas-sn.osu.edu/variables/174304,11546041,T,EB,0.998,0.4067981,0.207186,4
J095906.27-235700.3,https://asas-sn.osu.edu/variables/128842,11559798,-,VAR,0.413,NON PERIODIC,2.570307,4
J012132.93-290753.9,https://asas-sn.osu.edu/variables/93976,11598102,-,VAR,0.451,NON PERIODIC,1.21218,0
J201627.03+384540.8,https://asas-sn.osu.edu/variables/205854,11704852,T,EA,0.986,6.7721119,0.524808,4
J201641.75+415745.6,https://asas-sn.osu.edu/variables/244699,11793277,-,VAR,0.245,NON PERIODIC,0.5392,4
J201700.35+390820.7,https://asas-sn.osu.edu/variables/205559,11918748,F,ROT,0.707,1.5514875,1.158295,4
J060433.82-031147.2,https://asas-sn.osu.edu/variables/430121,11961096,-,VAR,0.291,NON PERIODIC,4.425913,4
J201723.64+360736.0,https://asas-sn.osu.edu/variables/205171,12029932,F,ROT:,0.871,NON PERIODIC,1.534337,4
J201809.53+381828.7,https://asas-sn.osu.edu/variables/205310,12494582,-,VAR,0.28,NON PERIODIC,1.151599,4
J033243.59-085541.3,https://asas-sn.osu.edu/variables/603036,12632044,F,ROT,0.8,0.2016273,2.727173,4
J225246.26+605458.9,https://asas-sn.osu.edu/variables/254650,12790306,-,VAR,0.334,NON PERIODIC,3.348865,4
J021557.23+655706.8,https://asas-sn.osu.edu/variables/AP4441338,12825453,T,EA,0.981,1.0976057,0.16466,4
J001648.36-142714.8,https://asas-sn.osu.edu/variables/246602,12864374,-,VAR,0.314,NON PERIODIC,0.704476,4
J201956.89+375007.4,https://asas-sn.osu.edu/variables/AP13990180,12915124,T,EA,1.0,3.16398,0.136705,4
J195430.94+241909.2,https://asas-sn.osu.edu/variables/193163,13017011,F,ROT:,0.315,NON PERIODIC,1.941167,4
J225530.23+640030.9,https://asas-sn.osu.edu/variables/255141,13037534,T,EA,0.965,30.1858266,0.158486,4
J050205.46-284246.5,https://asas-sn.osu.edu/variables/61133,13062255,T,EA,1.0,1.651255,0.850743,4
J231233.91-241559.8,https://asas-sn.osu.edu/variables/244652,13068361,F,ROT:,0.361,NON PERIODIC,1.85773,4
J050333.58-252156.4,https://asas-sn.osu.edu/variables/AP19214547,13070701,T,EW,1.0,0.4140712,0.67539,4
J050656.95-293608.4,https://asas-sn.osu.edu/variables/61079,13135572,-,VAR,0.431,NON PERIODIC,0.567476,4
J225647.52+624336.7,https://asas-sn.osu.edu/variables/254726,13284088,-,GCAS,0.39,NON PERIODIC,2.470653,4
J051432.87-251941.3,https://asas-sn.osu.edu/variables/142713,13325340,T,EA,1.0,0.893093,0.612441,4
J051531.24-284501.2,https://asas-sn.osu.edu/variables/61105,13345143,-,VAR,0.416,NON PERIODIC,0.942359,4
J022540.24+613259.4,https://asas-sn.osu.edu/variables/349379,13351941,-,VAR,0.754,271.7154726,1.019783,2
J225840.04+630437.1,https://asas-sn.osu.edu/variables/254638,13389059,-,VAR,0.383,NON PERIODIC,1.812687,4
J085143.67-070744.4,https://asas-sn.osu.edu/variables/AP47101050,13623021,T,EA,0.999,2.1703372,0.239281,4
J202310.82+390945.5,https://asas-sn.osu.edu/variables/205104,13968858,-,VAR,0.502,NON PERIODIC,1.107526,4
J202350.75+382941.5,https://asas-sn.osu.edu/variables/205359,14207118,-,VAR,0.405,NON PERIODIC,7.840127,2
J093813.35-010428.1,https://asas-sn.osu.edu/variables/394530,14307980,T,EA,1.0,0.8974198,2.111918,4
J072420.99+150249.1,https://asas-sn.osu.edu/variables/AP22879350,14498338,T,EB,0.996,0.53157,0.067323,4
J202515.80+373318.0,https://asas-sn.osu.edu/variables/205872,14617089,T,EA,0.992,1.6688988,0.407074,4
J115801.07+140217.0,https://asas-sn.osu.edu/variables/128414,14826027,F,ROT:,0.317,NON PERIODIC,1.111676,4
J202530.67+372551.0,https://asas-sn.osu.edu/variables/205210,14842303,F,ROT:,0.309,NON PERIODIC,3.122739,4
J202538.32+370310.4,https://asas-sn.osu.edu/variables/AP13940311,14844585,T,EB,0.995,1.8631332,0.130816,4
J124107.87+302613.3,https://asas-sn.osu.edu/variables/122337,14948284,-,YSO,0.323,NON PERIODIC,1.488575,4
J202850.85+390913.7,https://asas-sn.osu.edu/variables/APO398,15795549,T,EA,1.0,0.89121,0.023655,4
J203027.36+411325.4,https://asas-sn.osu.edu/variables/274476,16316642,F,SR,0.981,60.3625071,0.70844,4
J152932.49+335254.7,https://asas-sn.osu.edu/variables/65882,16331062,F,ROT:,0.356,NON PERIODIC,2.221869,4
J203105.24+384659.2,https://asas-sn.osu.edu/variables/AP14030386,16617827,T,EW,0.999,0.2906277,1.298009,4
J203137.69+411321.9,https://asas-sn.osu.edu/variables/273300,16734598,F,L,0.715,NON PERIODIC,2.274949,4
J203318.29+411739.6,https://asas-sn.osu.edu/variables/274124,17449899,-,YSO,0.859,NON PERIODIC,0.17078,1
J203310.59+412222.8,https://asas-sn.osu.edu/variables/271966,17451194,T,EA,0.924,2.9789925,1.119317,1
J161118.80+353818.9,https://asas-sn.osu.edu/variables/62197,17467989,F,ROT:,0.615,NON PERIODIC,1.662939,4
J161331.69+323442.5,https://asas-sn.osu.edu/variables/AP8153101,17539022,F,HADS,0.997,0.0517201,0.454111,4
J161342.06+315705.5,https://asas-sn.osu.edu/variables/61130,17539192,T,EW,1.0,0.5318333,1.415359,4
J161458.63+301635.7,https://asas-sn.osu.edu/variables/APO261,17562290,T,EB,1.0,0.30819,0.021274,4
J161520.21+354226.2,https://asas-sn.osu.edu/variables/AP8180271,17563811,T,EW,1.0,0.3609372,0.236944,4
J161654.33+310721.4,https://asas-sn.osu.edu/variables/APO264,17568668,T,EA,1.0,0.56784,0.054428,4
J113050.08+411711.8,https://asas-sn.osu.edu/variables/97937,18028547,-,VAR,0.37,NON PERIODIC,2.028578,2
J122010.67+412425.6,https://asas-sn.osu.edu/variables/115981,18069450,F,ROT:,0.308,NON PERIODIC,2.904443,4
J173920.58+354210.3,https://asas-sn.osu.edu/variables/AP35986509,18269802,T,EW,1.0,0.3431569,0.324538,4
J173936.66+325647.1,https://asas-sn.osu.edu/variables/51603,18271803,-,VAR,0.399,NON PERIODIC,1.854495,4
J174353.35+313148.3,https://asas-sn.osu.edu/variables/61182,18433724,T,EW,1.0,0.4076074,0.761874,4
J174511.99+332709.6,https://asas-sn.osu.edu/variables/51607,18534775,T,EW,1.0,0.3358654,1.323522,0
J174704.44+295353.1,https://asas-sn.osu.edu/variables/61205,18566969,T,EW,0.999,0.5635718,1.892309,4
J174728.55+322126.9,https://asas-sn.osu.edu/variables/AP35914783,18636142,T,EW,1.0,0.4315107,0.255376,4
J081350.91-073826.8,https://asas-sn.osu.edu/variables/166476,19122666,F,ROT:,0.366,413.2963218,2.407542,4
J081511.61-061856.2,https://asas-sn.osu.edu/variables/166469,19193162,-,VAR,0.716,753.2426594,2.201678,4
J081849.17-102953.7,https://asas-sn.osu.edu/variables/490026,19515735,T,EA,1.0,2.29691,1.391097,4
J081846.58-072715.0,https://asas-sn.osu.edu/variables/AP20577933,19518720,T,EB,0.925,3.5178167,0.244224,4
J092124.72-315747.9,https://asas-sn.osu.edu/variables/72510,19757899,T,EB,1.0,1.4068424,0.641605,4
J092250.26-295503.9,https://asas-sn.osu.edu/variables/AP45379058,19908570,T,EB,0.998,0.8707445,0.97878,4
J090758.06-074817.4,https://asas-sn.osu.edu/variables/197310,20042408,-,VAR,0.778,384.3231746,0.762945,4
J055905.94-362550.6,https://asas-sn.osu.edu/variables/AP18276247,20144513,T,EA,1.0,4.3034455,0.363824,4
J055903.84-392727.0,https://asas-sn.osu.edu/variables/69779,20176492,T,EA,1.0,2.2213086,0.219179,4
J150809.18+395814.0,https://asas-sn.osu.edu/variables/69864,20212631,-,VAR,0.403,NON PERIODIC,1.265198,4
J150916.05+360200.2,https://asas-sn.osu.edu/variables/APO247,20215452,T,EA,0.966,0.59575,0.086644,4
J151110.17+385702.3,https://asas-sn.osu.edu/variables/71328,20239565,-,VAR,0.372,NON PERIODIC,1.04517,4
J151332.56+383406.6,https://asas-sn.osu.edu/variables/71378,20299889,T,EA,0.711,7.6053161,1.046947,4
J132225.16-204221.2,https://asas-sn.osu.edu/variables/148798,20541663,-,VAR,0.443,NON PERIODIC,1.318182,4
J024908.17+441507.9,https://asas-sn.osu.edu/variables/AP2280204,20876588,T,EA,1.0,3.1507032,0.088323,4
J181941.83+501038.3,https://asas-sn.osu.edu/variables/AP14621486,21126323,T,EA,0.999,1.84171,0.103644,4
J022536.15+280550.4,https://asas-sn.osu.edu/variables/94210,21174723,T,EA,0.699,0.463766,0.50837,4
J054114.40-411758.8,https://asas-sn.osu.edu/variables/151956,21438160,F,ROT,0.969,0.3514153,0.852494,4
J054137.48-382226.0,https://asas-sn.osu.edu/variables/74806,21442712,-,VAR,0.297,NON PERIODIC,1.502102,4
J095545.49+371142.6,https://asas-sn.osu.edu/variables/124953,21499609,-,VAR,0.357,NON PERIODIC,2.128362,4
J055302.45-401849.6,https://asas-sn.osu.edu/variables/166162,21729403,T,EW,0.999,0.405359,0.648015,4
J170713.96+321747.4,https://asas-sn.osu.edu/variables/APO282,21829304,T,EA,1.0,2.24947,0.05287,4
J130316.53+363659.9,https://asas-sn.osu.edu/variables/122506,22017780,-,VAR,0.463,NON PERIODIC,1.686127,4
J095256.40-264519.4,https://asas-sn.osu.edu/variables/183745,22083083,-,VAR,0.459,134.6910766,0.930359,4
J095357.05-240846.9,https://asas-sn.osu.edu/variables/128593,22120766,F,ROT:,0.723,NON PERIODIC,2.649537,4
J095556.28-240307.8,https://asas-sn.osu.edu/variables/592917,22221233,F,ROT:,0.905,NON PERIODIC,1.611813,4
J121642.92-455202.2,https://asas-sn.osu.edu/variables/80399,22390773,-,VAR,0.344,NON PERIODIC,0.827983,4
J122733.40-183627.5,https://asas-sn.osu.edu/variables/285255,22457438,F,ROT:,0.558,NON PERIODIC,2.171778,3
J122827.24-185539.4,https://asas-sn.osu.edu/variables/AP26207174,22481474,F,ROT,0.998,0.5994841,2.499848,2
J071039.24-411555.7,https://asas-sn.osu.edu/variables/151680,22538139,-,VAR,0.436,166.7724368,4.158667,0
J133507.69+410500.2,https://asas-sn.osu.edu/variables/88446,22818693,F,ROT:,0.851,NON PERIODIC,3.248575,4
J071517.30-361229.8,https://asas-sn.osu.edu/variables/AP44345354,22864020,F,ROT,0.906,0.4674855,0.475031,4
J154106.72-265625.5,https://asas-sn.osu.edu/variables/246732,22959701,F,ROT,0.989,5.4714347,1.248418,4
J071818.48-364403.7,https://asas-sn.osu.edu/variables/373834,23037766,-,GCAS,0.384,NON PERIODIC,1.78643,4
J030521.20-061948.5,https://asas-sn.osu.edu/variables/173401,23139612,-,VAR,0.441,NON PERIODIC,2.679086,4
J030952.78-065333.5,https://asas-sn.osu.edu/variables/173408,23221002,-,VAR,0.476,NON PERIODIC,0.552512,4
J111727.36-340047.8,https://asas-sn.osu.edu/variables/AP41853919,23582886,T,EB,1.0,1.1427055,0.214021,4
J135418.92+404540.9,https://asas-sn.osu.edu/variables/88289,23753424,F,ROT:,0.585,577.9442571,1.697878,4
J182416.01+351428.3,https://asas-sn.osu.edu/variables/61227,23936839,T,EW,1.0,0.2753047,1.143542,1
J155426.59-273339.2,https://asas-sn.osu.edu/variables/259349,24133365,-,VAR,0.636,563.521583,2.542677,4
J155434.03-290903.3,https://asas-sn.osu.edu/variables/113126,24194061,-,VAR,0.732,393.6803611,1.76474,4
J052800.18-333437.5,https://asas-sn.osu.edu/variables/AP36970974,24433067,T,EA,0.996,6.1861521,0.431137,4
J053450.78-302515.4,https://asas-sn.osu.edu/variables/59852,24586751,T,EA,1.0,0.5128256,0.852619,4
J052312.56-090742.5,https://asas-sn.osu.edu/variables/AP19617695,24606516,T,EW,1.0,0.4019857,0.199439,4
J092738.43-350022.7,https://asas-sn.osu.edu/variables/351817,24733359,-,VAR,0.474,264.7221017,3.900776,1
J093051.59-323422.1,https://asas-sn.osu.edu/variables/356388,24972851,-,VAR,0.29,NON PERIODIC,0.818933,4
J040019.06-685801.0,https://asas-sn.osu.edu/variables/AP36324752,25063986,-,VAR,0.735,NON PERIODIC,0.525983,4
J093237.53-323942.0,https://asas-sn.osu.edu/variables/357543,25101101,T,EW,1.0,0.3880416,0.831399,4
J040811.52-682319.7,https://asas-sn.osu.edu/variables/AP36331374,25132229,T,EW,0.732,0.5013365,0.461386,4
J040807.09-712703.4,https://asas-sn.osu.edu/variables/86266,25132999,F,ROT:,0.885,NON PERIODIC,2.530754,4
J040911.53-711741.5,https://asas-sn.osu.edu/variables/86094,25133286,-,UGSU,,NON PERIODIC,0.663057,1
J093306.17-331723.6,https://asas-sn.osu.edu/variables/359683,25159742,T,EB,0.991,6.9329755,0.004876,4
J063155.20-070460.0,https://asas-sn.osu.edu/variables/431996,25183492,F,ROT,0.945,0.2790084,0.660874,4
J041501.07-693210.8,https://asas-sn.osu.edu/variables/86390,25195864,F,ROT:,0.436,NON PERIODIC,1.685532,4
J214749.75-201406.0,https://asas-sn.osu.edu/variables/175877,25226885,T,EA,1.0,3.2642382,2.206726,4
J215527.28-231721.4,https://asas-sn.osu.edu/variables/175342,25375770,F,L,0.999,NON PERIODIC,0.706364,4
J163459.64-481524.5,https://asas-sn.osu.edu/variables/359269,25428504,-,VAR,0.433,NON PERIODIC,1.558932,1
J100617.44-110000.4,https://asas-sn.osu.edu/variables/AP27060214,26107382,T,EW,0.874,0.2534862,0.152157,4
J070634.46+144033.3,https://asas-sn.osu.edu/variables/AP24354712,26182280,T,EW,1.0,0.3409041,0.303789,4
J101331.74-070217.7,https://asas-sn.osu.edu/variables/187176,26261539,-,VAR,0.46,NON PERIODIC,0.875855,4
J034932.58+330529.9,https://asas-sn.osu.edu/variables/279998,26533207,-,GCAS,0.254,NON PERIODIC,1.809836,4
J192810.70+485636.0,https://asas-sn.osu.edu/variables/76138,26584043,F,ROT:,0.919,NON PERIODIC,0.978684,4
J193018.23+493132.5,https://asas-sn.osu.edu/variables/APO353,26656583,T,EA,1.0,0.52768,0.044423,4
J234201.37+514436.7,https://asas-sn.osu.edu/variables/AP11830455,26801525,T,EA,1.0,3.8968952,0.114234,4
J132015.68+174556.3,https://asas-sn.osu.edu/variables/89116,27112021,-,VAR,0.348,NON PERIODIC,1.567859,4
J193859.87+493920.0,https://asas-sn.osu.edu/variables/APO365,27307817,T,EB,0.786,14.58936,0.023333,4
J193955.88+523510.0,https://asas-sn.osu.edu/variables/81053,27315670,F,HADS,0.989,0.1092675,0.424602,4
J194032.66+491622.7,https://asas-sn.osu.edu/variables/80185,27395746,F,HB,,NON PERIODIC,1.310398,4
J142004.61+390303.4,https://asas-sn.osu.edu/variables/115247,27415380,F,ROT,0.998,0.3692675,2.170003,4
J194311.10+505345.5,https://asas-sn.osu.edu/variables/79200,27639466,-,VAR,0.308,445.4818401,0.350503,4
J194401.98+501355.3,https://asas-sn.osu.edu/variables/79309,27767184,F,ROT:,0.387,NON PERIODIC,2.875511,4
J194546.06+511327.6,https://asas-sn.osu.edu/variables/APO376,27843942,T,EA,1.0,1.52188,0.121069,4
