MAIN_ID,TIC_ID,Is_EB_SIMBAD,OTYPES,V__vartyp,angDist,Match_Score
TYC 2522-2117-1,9391285,-,V*|*|IR,,,2
EBLM J0454-09,9433212,T,SB*|V*|EB*|*,,0.00118,3
ATO J183.2261+36.5615,9461737,T,EB*|*|EB?|IR,EA:,,3
V* TU Her,9473243,T,EB*|EB*|V*|*|IR|X,E,,3
* u Her,9588485,T,EB*|V*|SB*|**|*|IR|UV,,,5
V* BS Aqr,9632550,F,dS*|dS*|V*|RR*|V*|*|IR,,,5
NGC  6134    58,9677272,-,*|IR,,,5
V* V385 Nor,9692649,F,El*|V*|*|IR,,,5
HD 223728,9708387,-,PM*|*|*|IR|X,,0.141761,5
1SWASP J235346.73-105305.9,9727392,T,SB*|EB*|V*|*|IR,,,5
TYC 2600-1473-1,9729491,-,*|IR,,,5
HD 157465,9779230,-,*|IR|X,,,5
UCAC2  29027232,9787427,-,PM*|*|IR,,,5
TYC 4714-656-1,9805120,-,*|IR,,,5
ROTSE1 J172343.95+311754.4,9825731,T,EB*|V*|*|EB?|IR,EW:,,5
ASAS J031252-0744.3,9845586,T,EB*|EB*|EB*|**|V*|*|EB?|IR,EW:,,5
HD  20152,9858404,-,PM*|**|*|IR,,,5
ASAS J031529-1146.2,9886075,T,EB*|EB*|**|V*|*|IR,EW,,5
BD-09   625,9887737,-,*|IR,,,5
V* VV Eri,9945183,T,EB*|V*|*|IR,,,2
BD-07   589,9966358,-,PM*|*|IR,,,5
BD+39  2075,10022184,-,*|IR,,,5
HD  75633,10057647,-,*|IR,,,5
TYC 4816-811-1,10070522,-,*|IR,,,3
V* MU UMa,10111251,F,RR*|RR*|RR*|Pu*|V*|*|IR|RR?,PULS,,5
TYC 4820-3530-1,10171418,-,*|IR,,,5
[GGM2006]  8059853,10393493,T,EB*|EB*|**|*|EB?|IR,EW:,,5
TYC 2612-1983-1,10467747,-,PM*|*|IR,,,5
BD+32  4493,10666479,-,*|IR,,,5
V* GP Cet,10756751,T,EB*|V*|*|IR,,,5
1SWASP J004934.19-144421.6,10763551,-,PM*|SB*|V*|*|IR|X,,0.068919,5
HD   6037,10784960,-,PM*|*|IR,,0.002794,5
BD-06   318,10838592,-,*|IR,,,5
V* WZ Cet,10838695,T,EB*|V*|*|IR,,,5
RX J0143.7-0602,10863087,F,PM*|SB*|Er*|PM*|*|*|IR|X,,,5
HD 339003,10891640,T,EB*|*|IR,,,5
1SWASP J034448.99-030443.0,11002748,T,EB*|V*|*|EB?,EW:,0.012682,5
V* V1359 Ori,11083205,F,dS*|Pu*|dS*|V*|*|IR,,,3
V* KV Cyg,11113164,T,EB*|V*|*|IR,E,,5
V* V2239 Cyg,11119600,T,EB*|V*|*|IR,E,,5
HD  37294,11197950,-,*|IR,,,3
V* V1247 Ori,11199521,F,dS*|Er*|dS*|Y*O|V*|*|Ae?|IR|UV,,,3
Parenago  2650,11283509,-,*|Rad,,5.908184,1
* sig Ori,11286198,-,SB*|**|**|Y*O|SB*|SB*|**|V*|*|IR|UV|X,,,5
* sig Ori E,11286209,F,Ro*|Y*O|Y*O|SB*|V*|**|*|IR|Rad|Rad|X,,,3
V* V2747 Ori,11294988,F,Or*|V*|TT*|*|IR|X,INB:,,5
V* V454 Cyg,11480287,T,EB*|V*|*|IR|V*?,E,,5
V* V2240 Cyg,11480757,T,EB*|V*|*|EB?|IR,EW:,,5
NSVS  17506495,11487334,T,EB*|*|EB?|IR,EW:,,5
TYC 6425-909-1,11487944,-,PM*|*|IR,,,5
V* RR Lyn,11491822,T,EB*|SB*|V*|*|IR|UV,E,,5
V* AN Scl,11518868,T,EB*|PM*|**|V*|*|IR|X,rot,,5
HD  84593,11521555,-,*|IR,,,5
V* CT Scl,11546041,T,EB*|EB*|V*|V*|*|IR,SIN,,5
HD  86612,11559798,-,Em*|Be*|V*|**|*|IR|UV,,,5
UCAC4 314-060815,11561667,-,*|IR,,,5
TYC 6616-1743-1,11563084,-,*|IR,,,5
V* BE Scl,11598102,T,EB*|V*|*|IR,EW,,3
CD-30   448,11613676,-,*|IR,,,2
HD   8487,11636522,-,**|*|IR|UV,,,5
V* V435 Cyg,11704852,T,EB*|V*|*|EB?|IR,E,,5
TYC 7144-1662-1,11748495,-,*|IR,,,5
V* V1187 Cyg,11793277,T,EB*|V*|*|IR,E,,3
HD  48766,11799872,-,PM*|**|*|IR,,,5
HD  48767,11799874,-,SB*|**|SB*|*|IR,,,5
TYC 3833-642-1,11893837,-,*|IR,,,5
V* V699 Cyg,11918748,T,EB*|V*|*|IR,,,5
TYC 7175-1528-1,11935448,-,*|IR,,,3
HD 294598,11961096,-,PM*|*|IR,,,5
UCAC4 777-010116,11996814,-,*|IR,,,5
HD 228755,12029932,T,V*|*|EB?|IR|X,,,5
2MASS J06061342-0337082,12158853,-,PM*|*|*|IR|X,,,5
TYC 6165-1005-1,12168000,-,*|IR,,,1
CD-29 18932,12358894,-,*|IR,,,5
CTLGD 7716,12359095,-,*|IR,,,5
CTLGM 4075,12418307,-,*|IR,,,5
2MASS J00081405-2413550,12419331,-,*|IR,,,5
UCAC4 319-000200,12423815,-,*|IR,,,1
[NH52] 30,12494582,T,EB*|*|IR,E,,5
HD  21251,12523915,-,PM*|*|*|IR,,,5
EBLM J0326-09,12529950,T,SB*|V*|EB*|*,,0.002013,3
TYC 4722-380-1,12631605,-,*|IR,,,5
V* LL Eri,12632044,T,**|WD*|El*|PM*|WD*|V*|SB*|*|EB?|IR|X,EW:,,5
TYC 6381-1219-1,12655390,-,*|IR,,,3
HD 193576,12672792,T,EB*|V*|EB*|Er*|V*|Em*|WR*|SB*|*|IR|X,E,,5
LS  II +38   43,12673900,T,EB*|*|IR,E,,5
LP  819-72,12723924,-,PM*|*|IR,E,,5
V* V453 Cep,12790306,T,EB*|**|V*|*|IR|UV,,,3
HD 193636,12811898,-,V*|**|*|IR|UV,-,,4
LP   52-49,12824209,-,PM*|*|IR,,,5
TYC 5267-597-1,12864374,-,PM*|*|IR,,,5
2MASS J20195689+3750073,12915124,T,EB*|*|IR,E,,5
HD 228989,12921082,T,EB*|SB*|*|IR|X,E,,5
HD 217391,12931121,-,*|IR,,,5
HD 188485,13017011,-,**|*|IR|UV,,,3
V* BB Cep,13037534,T,EB*|V*|*|IR,,,5
1RXS J050205.7-284235,13062255,T,EB*|EB*|EB*|EB*|V*|*|IR|X,EB,,5
CD-24 17536,13068361,-,PM*|*,,0.001549,5
ASAS J050334-2521.9,13070701,T,EB*|EB*|**|V*|*|IR,EW,,5
HD 219391,13092260,-,*|IR,,,5
CD-30  2187,13095916,-,*|IR,,,5
HD 219465,13098251,-,*|IR,,,5
CD-29  2061,13135572,T,EB*|V*|*|IR|X,EC,,5
CD-51 10226,13168412,-,*|*|IR,,,5
HD 217086,13284088,-,Y*O|**|*|IR|X|X|Y*?,,,5
