subject_id,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at
56998317,1,1,0,1,1,2021-02-12 16:39:22.101000+00:00
56998408,2,2,0,3,3,2021-02-15 22:09:17.158000+00:00
56998581,1,1,0,1,1,2021-02-15 19:23:02.683000+00:00
56998590,2,2,0,2,2,2021-02-16 19:18:24.422000+00:00
56998936,5,5,0,6,6,2021-02-16 19:30:50.632000+00:00
56999029,1,1,0,1,1,2021-02-16 19:14:40.122000+00:00
56999058,1,2,1,3,3,2021-02-21 22:33:53.062000+00:00
56999101,3,3,0,3,3,2021-02-16 17:05:43.755000+00:00
56999104,1,1,0,1,1,2021-02-16 11:45:27.441000+00:00
56999127,6,6,0,7,7,2021-02-21 22:29:29.089000+00:00
56999128,1,1,0,1,1,2021-02-13 00:10:56.188000+00:00
56999185,6,6,0,6,6,2021-02-14 12:07:21.592000+00:00
56999223,2,4,2,6,6,2021-02-16 14:30:34.155000+00:00
56999231,2,4,2,6,6,2021-02-16 19:26:22.626000+00:00
56999253,3,3,0,4,4,2021-02-14 23:22:14.396000+00:00
56999257,4,4,0,4,4,2021-02-21 22:46:49.832000+00:00
56999281,1,2,1,8,9,2021-07-18 21:10:50.122000+00:00
56999285,7,7,0,8,8,2021-02-21 22:54:53.269000+00:00
56999298,4,4,0,4,4,2021-02-21 23:07:09.299000+00:00
56999347,4,4,0,4,4,2021-02-15 20:38:44.384000+00:00
56999396,4,5,1,5,5,2021-02-16 04:19:47.376000+00:00
56999397,1,1,0,2,2,2021-02-15 22:50:05.158000+00:00
56999433,2,2,0,2,2,2021-02-13 18:27:55.964000+00:00
56999532,4,4,0,5,5,2021-02-14 13:44:15.053000+00:00
56999633,3,3,0,3,3,2021-02-21 23:24:20.776000+00:00
56999649,5,5,0,6,6,2021-02-21 23:24:47.174000+00:00
56999651,4,4,0,6,6,2021-02-21 23:27:53.519000+00:00
56999652,6,7,1,7,7,2021-02-22 10:02:45.438000+00:00
56999660,1,2,1,3,3,2021-02-14 19:50:23.034000+00:00
56999696,1,1,0,2,2,2021-02-15 19:46:31.693000+00:00
56999729,-3,1,4,6,7,2021-02-16 17:16:06.737000+00:00
56999762,-2,1,3,4,4,2021-02-22 10:08:23.974000+00:00
56999774,-1,2,3,6,6,2021-02-15 16:28:30.963000+00:00
56999823,5,5,0,5,5,2021-02-22 10:11:42.812000+00:00
56999876,-2,2,4,4,4,2021-02-15 15:12:29.399000+00:00
56999893,7,7,0,7,7,2021-02-22 10:17:52.096000+00:00
56999948,1,1,0,1,1,2021-02-12 08:28:39.612000+00:00
56999968,7,7,0,8,8,2021-02-16 16:20:31.075000+00:00
57000024,8,8,0,8,8,2021-02-22 10:23:26.974000+00:00
57000048,1,1,0,1,1,2021-02-15 14:13:40.043000+00:00
57000068,1,1,0,3,3,2021-02-16 14:32:39.610000+00:00
57000091,2,2,0,4,4,2021-02-16 12:25:56.117000+00:00
57000093,1,1,0,1,1,2021-02-14 05:42:38.259000+00:00
57000094,2,2,0,3,3,2021-02-13 15:20:03.355000+00:00
57000106,1,1,0,1,1,2021-02-13 12:59:00.400000+00:00
57000162,1,1,0,2,2,2021-02-23 10:55:22.683000+00:00
57000206,1,1,0,1,1,2021-02-12 18:29:54.020000+00:00
57000227,2,2,0,4,4,2021-02-16 11:49:57.247000+00:00
57000228,1,1,0,2,2,2021-02-13 09:25:16.991000+00:00
57000279,0,1,1,3,3,2021-02-23 12:54:05.210000+00:00
57000289,2,2,0,4,4,2021-02-23 11:51:18.150000+00:00
57000302,-1,1,2,3,3,2021-02-14 07:25:05.596000+00:00
57000308,4,4,0,5,5,2021-02-23 12:59:05.322000+00:00
57000331,5,5,0,6,6,2021-02-15 11:41:14.485000+00:00
57000350,3,4,1,7,9,2021-02-23 13:08:14.040000+00:00
57000352,3,3,0,4,4,2021-02-23 13:01:19.548000+00:00
57000356,3,3,0,5,5,2021-02-16 11:57:03.580000+00:00
57000383,1,1,0,2,2,2021-02-15 00:04:17.780000+00:00
57000391,2,2,0,2,2,2021-02-13 23:55:08.857000+00:00
57000416,1,1,0,2,2,2021-02-15 02:37:18.669000+00:00
57000417,1,1,0,1,1,2021-02-13 15:34:34.510000+00:00
57000470,6,6,0,6,6,2021-02-15 07:06:43.333000+00:00
57000486,0,1,1,4,4,2021-02-16 03:26:27.416000+00:00
57000522,3,3,0,5,5,2021-02-23 13:14:27.563000+00:00
57000536,1,1,0,1,1,2021-02-10 23:41:07.059000+00:00
57000548,1,1,0,1,1,2021-02-13 06:41:13.123000+00:00
57000549,1,1,0,1,1,2021-02-11 14:57:47.390000+00:00
57000574,1,2,1,4,4,2021-02-16 18:45:13.583000+00:00
57000606,4,4,0,6,7,2021-02-23 13:27:32.915000+00:00
57000666,1,1,0,1,1,2021-02-12 11:54:16.337000+00:00
57000725,1,1,0,1,1,2021-02-15 00:06:08.968000+00:00
57000804,4,4,0,4,4,2021-02-26 12:05:13.010000+00:00
57000844,1,1,0,1,1,2021-02-15 21:14:59.028000+00:00
57000880,1,1,0,1,1,2021-02-11 15:12:08.351000+00:00
57000885,1,1,0,1,1,2021-02-13 12:47:40.288000+00:00
57000957,1,1,0,1,1,2021-02-13 12:52:33.921000+00:00
57000996,1,3,2,6,6,2021-03-04 18:46:04.860000+00:00
57001039,5,5,0,6,6,2021-02-23 14:07:14.828000+00:00
57001055,1,1,0,1,1,2021-02-16 13:16:03.284000+00:00
57001106,-5,1,6,8,8,2021-02-23 14:19:24.947000+00:00
57001178,4,5,1,6,6,2021-02-14 18:14:34.562000+00:00
57001200,-5,1,6,6,6,2021-02-17 14:36:01.025000+00:00
