OID,n_OID,V,Name,TIC_ID,Is_EB,Type,Period,angDist,Match_Score
574432,B,0,ASASSN-V J045651.28-662348.9,30312711,F,L:,,68.148611,1
2219197,,3,LMC V0350,30312916,-,VAR,,0.009462,1
838045,,0,NEV323,30313682,T,EA,5.72737,0.027185,1
272669,B,0,ASAS J045716-6824.7,30317301,-,VAR,,58.346979,1
13638,B,0,XX Dor,30531417,F,RRC,0.328936,0.007046,1
76832,B,0,ASAS J050048-7029.9,30631330,T,EC,0.38735,0.04115,1
2212848,,0,KELT KS38C016824,30701932,T,EA,23.0723,0.174154,1
2213480,,3,KELT KS34C003047,30828562,T,EA,3.112338,0.486284,1
96312,B,0,ASAS J132229-3925.9,30876081,T,EA,5.812128,0.030867,1
44842,B,0,V1177 Cen,30993392,T,EA,5.7945,0.005161,1
37654,B,0,IU Vel,31062736,-,GCAS,,0.060277,1
235109,B,0,LMC V1006,31106686,F,ACYG:,27.07093,0.001143,1
76957,B,0,ASAS J050527-6743.3,31107108,T,ESD,4.049,0.008557,1
77498,B,0,ASAS J052452-2809.2,31118189,T,EW,0.27577585,0.104452,1
16312,B,0,V0353 Hya,31134762,T,EA,7.56506,0.041801,1
136805,B,0,V0881 Ara,31207306,T,EA,2.4188894,0.051049,1
77691,B,0,ASAS J053114-2709.1,31303242,T,ED,7.056852,0.077207,1
633353,B,0,WISE J055536.1-701307,31415131,T,EW|EA,0.7896107,0.083843,1
78643,B,0,ASAS J055838-6805.0,31529035,T,EA,5.7547,0.018909,1
633264,B,0,WISE J055839.8-681145,31529171,T,EW,0.461798,0.192548,1
15917,B,0,RZ Hor,31653503,T,EA,6.68032,0.021462,1
136062,B,0,CY Hyi,31655792,T,EW/RS,0.416121,0.083313,1
75323,B,0,ASAS J032258-7047.3,31796120,-,MISC,309.0,0.009352,1
39799,B,0,VZ Ret,31850842,T,EA/RS,4.63963,0.143352,1
37660,B,0,KK Vel,31921921,F,BCEP,0.215679,0.036648,1
16477,B,0,CR Hyi,31925242,F,ELL:,1.10056,0.071898,1
75500,B,0,ASAS J033710-7053.9,31943118,T,EC|DSCT|ESD,0.41435,0.040576,1
840662,,0,ASASSN-V J033949.67-682419.3,31961007,T,EA,2.1268,0.003981,1
629527,B,0,WISE J034357.1-712844,32000625,T,EA,0.7017535,0.323207,1
42358,B,0,NSV 3734,32008233,-,CV,0.1416017,0.103335,1
16479,B,0,CT Hyi,32035258,F,ACV:,2.2301,0.039864,1
305165,B,0,HIP 17981,32053388,-,VAR,0.74774,0.051117,1
839660,,0,CzeV1177,32093154,T,EW,0.401809,0.01302,1
