TIC_ID,ASASSN-V,RAJ2000,DEJ2000,Vmag,Amp,Per,Type,Prob,HJD,Gaia,pmRA,pmDE,Vt,Dist,WISEA,Jmag,J-K,W1-W2,APASS,B-V,E(B-V),Ref,URL,2M,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
440817830,J130653.66-615638.1,196.72359,-61.94391,9.07,0.27,NON PERIODIC,GCAS:,0.38,2457567.67334,5863358136989292544,-0.211,-3.379,31.76069,1979.15,J130653.75-615638.0,8.237,0.099,-0.045,49318937,,3.286,II,https://asas-sn.osu.edu/variables/355009,2M,0.664438,1,V,0.129999999999999
440958702,J150402.04-280339.7,226.00849,-28.06103,8.26,0.68,NON PERIODIC,VAR,0.443,2457934.50644,6224615704606552064,21.694,-4.01,20.48129,195.86,J150401.99-280341.4,6.731,0.233,0.03,,,0.168,II,https://asas-sn.osu.edu/variables/121832,2M,1.954331,1,V,0.5299999999999994
441025443,J213636.67-221759.0,324.15281,-22.29972,9.92,0.65,NON PERIODIC,VAR,0.371,2456943.58344,6817632009642019840,23.398,-46.157,66.87746,272.65,J213636.69-221759.4,8.777,0.233,-0.017,60448000,0.463,0.051,II,https://asas-sn.osu.edu/variables/256139,2M,0.188525,1,V,0.17799999999999905
441041386,J213958.38-232111.2,324.99323,-23.35312,10.72,0.57,NON PERIODIC,VAR,0.358,2456873.70035,6816569503454014464,10.154,-2.913,22.87461,456.84,J213958.26-232111.1,10.13,0.239,-0.048,60443428,0.274,0.054,II,https://asas-sn.osu.edu/variables/256352,2M,1.596445,1,V,0.0810000000000013
441105436,J213519.19-272249.8,323.82995,-27.38051,12.32,0.38,0.3689043,EW,1.0,2458041.6132,6810927630118097920,32.363,4.894,61.49452,396.37,J213519.15-272249.5,10.914,0.454,-0.027,60421755,0.704,0.032,II,https://asas-sn.osu.edu/variables/256656,2M,0.714336,1,V,0.038000000000000256
441128066,J023833.13-141756.7,39.63806,-14.29909,9.75,0.67,NON PERIODIC,VAR,0.458,2457945.85898,5158131859934912512,-14.838,2.817,13.32845,186.18,J023833.16-141756.5,8.75,0.258,-0.004,37841229,0.534,0.023,II,https://asas-sn.osu.edu/variables/153278,2M,0.667208,1,V,0.1999999999999993
441183795,J221518.93-245927.5,333.82886,-24.99096,8.97,0.5,NON PERIODIC,VAR,0.43,2457575.74247,6626081175524391936,37.091,-47.039,48.98761,172.53,J221519.01-245927.5,7.949,0.227,-0.031,58355430,,0.025,II,https://asas-sn.osu.edu/variables/264585,2M,0.913369,1,V,0.20000000000000107
441200647,J222252.77-243713.5,335.71986,-24.62043,10.76,0.42,NON PERIODIC,VAR,0.451,2457914.78448,6625695242647615488,14.928,-5.943,48.51031,636.95,J222252.75-243712.1,9.551,0.283,0.022,58353935,0.617,0.03,II,https://asas-sn.osu.edu/variables/200722,2M,1.49022,1,V,0.009999999999999787
441219121,J193836.61-410846.5,294.65256,-41.14625,9.97,0.86,NON PERIODIC,VAR,0.277,2457306.57175,6689251176560049152,10.372,-56.002,74.3138,275.27,J193836.75-410848.8,9.024,0.262,-0.015,58974085,0.298,0.099,II,https://asas-sn.osu.edu/variables/202095,2M,2.408345,1,V,0.14800000000000146
441386522,J204011.28-344256.5,310.047,-34.7157,9.29,0.66,558.3184345,VAR,0.736,2456889.6445,6791575954888085504,42.485,-3.11,21.08708,104.43,J204011.37-344256.9,8.179,0.358,-0.06,60313548,0.695,0.037,II,https://asas-sn.osu.edu/variables/221884,2M,0.831515,1,V,0.120000000000001
441406061,J204312.60-321735.1,310.80251,-32.29307,9.79,0.93,NON PERIODIC,VAR,0.28,2457354.5131,6792441682853150720,1.68,-1.265,7.17599,719.89,J204312.48-321735.4,9.056,0.179,0.003,,,0.057,II,https://asas-sn.osu.edu/variables/332156,2M,1.52632,1,V,0.07000000000000028
441422527,J204511.91-350956.9,311.29961,-35.16581,7.18,0.95,NON PERIODIC,VAR,0.354,2457546.69201,6779315953562353664,-15.114,-27.865,20.72596,137.94,J204511.70-350959.4,5.578,0.399,0.152,60258394,0.506,0.056,II,https://asas-sn.osu.edu/variables/332440,2M,3.146238,1,V,0.3799999999999999
441435570,J094148.17-551249.4,145.45072,-55.21371,6.76,0.55,NON PERIODIC,GCAS,0.32,2457479.6036,5307912144259680256,-12.101,2.635,27.21143,463.55,J094147.91-551249.5,6.196,-0.08,0.052,39907239,,2.328,II,https://asas-sn.osu.edu/variables/343443,2M,2.112065,1,V,0.7699999999999996
441591821,J073438.03+723827.4,113.65811,72.64106,13.33,0.45,1.17311,EA,0.978,2458037.08017,1111105123194168064,-14.477,5.446,23.24779,317.09,J073438.02+723827.2,12.014,0.67,-0.021,7453016,0.907,0.028,I,https://asas-sn.osu.edu/variables/457486,2M,0.796563,1,V,0.16300000000000026
441606527,J074603.60+723659.8,116.51501,72.6166,12.77,0.37,0.2824708,EW,1.0,2457427.80632,1111131472817539584,31.459,5.987,55.49709,365.61,J074603.61+723659.5,11.478,0.459,-0.04,7453186,0.703,0.023,II,https://asas-sn.osu.edu/variables/137582,2M,0.389399,1,V,0.02400000000000091
441608092,J074843.92+762808.5,117.183,76.46903,11.08,0.18,0.6197578,EA,0.974,2457105.77077,1136759753126962048,74.422,-59.644,53.26581,117.83,J074843.92+762808.3,9.328,0.668,-0.022,7572402,0.945,0.037,II,https://asas-sn.osu.edu/variables/135067,2M,0.909721,1,V,0.49799999999999933
441613385,J075328.90+722424.6,118.37042,72.40683,16.31,0.85,NON PERIODIC,VAR,0.389,2457707.02643,1110899853820753664,3.463,1.338,31.92968,1814.47,J075328.76+722424.4,16.261,-0.266,-0.123,7451688,-0.273,0.02,II,https://asas-sn.osu.edu/variables/144182,2M,0.219498,1,V,0.01699999999999946
