TIC ID,CTOI,Promoted to TOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Planet Radius (R_Earth),Planet Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
4843495,4843495.01,5719.01,,,,,,,,PC,,9.67055,0.006,147.003946,30.17842,14.294,0.063,4.734,0.058,2458875.55,.01,,,0.470226,0.10315,433,95,8,0.6,,,,,,,,,2.5,.3,,,,,,,,,,,,,,,,,,,155.483,1.052,6347,134.741,4.45158,.0918711,1.10473,.0529649,2022-03-31 12:53:39,eisner,,113462,"PHT candidate. Two transits separated by ~757 d. Events are low S/N."
4918918,4918918.01,5747.01,,,,,,,,PC,,10.7818,0.008,148.37832,35.570548,-87.855,0.078,-177.216,0.071,2459612.88628,,3.89,,6.124508,,5625,,4.8,,,,,,.075,,18.45,,3.45,,,,,,,,,,.036,,,,,,,,1033386.58,,28.5321,.0512,3466,157,4.80761,.00448927,.420908,.0124246,2022-04-30 05:21:41,lekkas,,115196,"Values derived using lightkurve package."
4956529,4956529.01,,,,,,,,,PC,,11.6079,0.006,148.492294,30.331704,21.906,0.066,-7.313,0.063,2458869.0188,.01,2.18429,0.00125,2.586044,,2379,,0.101,0.024,69.292,3.387,1.009,.007,.091,0,2.852,.744,22.968,2.265,,,,,,,.092,.105,,,,,,,,,,,516.497,11.548,5088.28,31.6584,,,2.23924,,2022-10-20 09:02:36,montalto,,420896,"new CTOI, Montalto (2022)"
5043138,5043138.01,,,,,,,,,PC,,11.6002,0.007,175.774232,35.007316,8,0.098,-13.158,0.09,2458898.9701,.0068,1.08953,0.00046,2.640461,,2429,,0.084,0.01,78.179,2.947,.678,.082,.046,.008,3.309,.4,3.912,.982,,,,,,,.577,.237,,,,,,,,,,,178.287,2.669,5078,128.191,4.58737,.0888435,.776351,.0495829,2022-10-20 09:02:36,montalto,,420945,"new CTOI, Montalto (2022)"
5079059,5079059.01,,,,,,,,,PC,,11.4937,0.006,176.208015,34.845681,-43.332,0.061,-10.13,0.046,2458898.9679,.0074,1.09021,0.0005,1.125406,,1036,,0.083,0.009,81.38,1.981,.545,.109,.029,.003,3.639,.388,2.571,.51,,,,,,,.768,.347,,,,,,,,,,,182.853,1.184,5215.95,104.975,4.58582,.076042,.794931,.0392562,2022-10-20 09:02:36,montalto,,420943,"new CTOI, Montalto (2022)"
5364106,5364106.01,,,,,,,,,PC,,11.0866,0.009,139.231123,-20.676234,-8.213,0.07,13.641,0.083,2459259.215,.004,,,1.738569,0.173732,1600,160,6.4,0.3,,,,,,,,,5.4,.4,,,,,,,,,,,,,,,,,,,299.679,3.4145,5964,131.187,4.27302,.0803521,1.26252,.0622311,2021-05-20 00:54:37,eisner,,97182,"PHT candidate. Single transit event."
5642884,5642884.01,,,,,,,,,PC,,10.9614,0.007,32.528854,27.858453,10.334,0.084,2.932,0.071,2458788.5414,.0106,4.2612,0.00262,0.650551,,599,,0.167,0.024,78.594,1.959,.87,.039,.026,.003,4.4,1.124,6.034,1.148,,,,,,,.089,.243,,,,,,,,,,,461.324,10.251,6005,120.041,3.85288,.0811606,2.06659,.104221,2022-10-20 09:02:36,montalto,,420865,"new CTOI, Montalto (2022)"
5966772,5966772.01,,,,,,,,,PC,,10.4795,0.006,193.398197,-23.119791,-55.084,0.091,-73.352,0.117,2459331.1,.01,,,1.303666,0.271468,1200,250,,,,,,,,,,,2.8,.4,,,,,,,,,,,,,,,,,,,87.0611,.41,4677,130.555,4.56264,.0955044,.750312,.0567965,2021-10-14 03:50:08,eisner,,100854,"PHT candidate. Possible additional transit event in the FFIs at ~ 1587.95 TBJD."
6242388,6242388.01,,,,,,,,,PC,,12.3605,0.008,80.006785,19.415556,12.488,0.06,-7.175,0.043,2459484.972,.008,,,10.06788,0.814608,9230,750,2.867,0.496,,,,,,,,,22.476,.898,,,,,,,,,,,,,,,,,,,626.386,14.6805,5323,127.716,3.74064,.0854676,2.14096,.127435,2021-11-24 08:37:38,vogl,,102292,"Found with our in-house single transit finder; Sector 43"
6426639,6426639.01,,,,,,,,,PC,,11.4788,0.006,112.600441,-11.118528,16.69,0.067,-21.865,0.059,2458492.29,,1.58,,0.39099,,360.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.939,8.026,6138,128.164,4.15518,.0829865,1.4936,.0696483,2021-01-10 08:23:56,chiarello,,93113,"All data ontained using the LightKurve framework"
6515171,6515171.01,,,,,,,,,PC,,11.1481,0.006,112.767938,-6.44881,-23.765,0.052,4.197,0.038,2458493.44,,5.48,,0.009185,,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.62,.894,5127,125.795,4.48273,.0841528,.882926,.0525829,2021-02-01 03:07:01,chiarello,,93760,"All Data obtained using the Light Kurve framework"
6517467,6517467.01,,,,,,,,,PC,,11.5345,0.006,112.858294,-6.468787,-4.342,0.056,-49.236,0.042,2458491.71,,1.33,,0.01709,,15.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.965,2.092,5680,128.829,4.55264,.0799851,.880798,.0447689,2021-02-01 03:25:06,chiarello,,93761,"All data obtained using the Light Kurve Framework"
7145074,7145074.01,,,,,,,,,PC,,11.1407,0.006,4.513159,-43.409677,-4.205,0.123,-22.153,0.145,2459111.52,.01,,,4.351654,0.108579,4000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.276,16.6085,5275.4,113.496,3.74688,.0901214,2.1024,.147311,2020-12-21 11:30:27,brahm,,92643,"WINE single transit"
7422496,7422496.01,4189.01,,,,,,,,PC,,8.7601,0.006,81.348892,-44.431285,-44.098,0.042,-110.328,0.051,2458470.354,.05,0,,0.760281,0.32577,700,300,5.9,1,,,,,,,,,2.4,1,,,,,,,,,,,,,,,,,,,69.6026,.1272,5744,117.134,4.56261,.0761973,.879321,.0413869,2020-01-24 10:25:52,eisner,,15948,"Planet Hunters TESS candidate. Single transit event."
7548817,7548817.01,2583.01,,,,,,,,PC,,12.0453,0.007,272.267029,45.3369,7.682,0.035,5.014,0.039,2458687.08604,,4.520737,,9.666654,,8863.8,,4.5973,,,,.677,,.09336,,,,15.93452070934842,,,,,,,,,,,,,,,,,,,,566.189,6.399,6050,127.639,4.1419,.0810965,1.49494,.071583,2021-02-08 16:07:01,olmschenk,,93938,"Identification and vetting detailed in https://arxiv.org/abs/2101.10919."
7559164,7559164.01,,,,,,,,,PC,,10.2939,0.006,114.325825,-10.228665,3.435,0.053,-8.931,0.043,2458489.8377,.0101,2.73378,0.00177,0.50933,,469,,0.148,0.023,61.608,9.833,.966,.066,.026,.01,2.032,1.867,7.354,3.538,,,,,,,.021,.107,,,,,,,,,,,313.071,3.1925,5006,122,,,2.59291,,2022-10-20 09:02:36,montalto,,420789,"new CTOI, Montalto (2022)"
7688647,7688647.01,,,,,,,,,PC,,15.5715,0.008,65.362323,-39.014165,-88.576,0.138,-101.684,0.183,2458439.188691608,.033514296487737696,1.9359409679607005,0.0066502390612748,20.009794,0.137478,18260.912569354325,126.61364188022007,0.8088380539602702,,,,.5409509160210442,.04220658602710695,.14808582838054124,.004513020522464136,20.142791625820205,.45858138835815326,2.713195397128773,.08268655172885105,,,,,,,,,.015729983809209494,.00035811708466625374,,,,,,,,,73.7926,.43295,3038,157,5.12906,.0359231,.167972,.00532643,2021-04-06 15:00:54,feliz,,96012,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
7984988,7984988.01,,,,,,,,,PC,,11.9218,0.007,157.19097,-4.136618,7.754,0.076,-2.859,0.075,2459275.0523,.0194,,,3.054462,0.935037,2809.31,860.83,5.8,5.41,,,,,,,,,4.84,.69,,,,,,,,,,,,,,,,,,,241.822,3.4605,5353.46,114.361,4.56337,.0780712,.834813,.0439522,2021-05-04 04:30:30,steuer,,96867,"Found with our in-house single transit finder"
8671865,8671865.01,,,,,,,,,PC,,12.2589,0.006,248.62411,34.460222,-11.293,0.035,0.115,0.044,2458917.0387,.006026,43.965303,,4.457398,,4097,,0.322,0.031,87.858,.433,.912,.039,.072,.016,24.41,5.533,9.07,2.574,,,,,,,.142,.092,,,,,,,,,,,502.032,6.2975,6149.48,140.88,4.37255,.0882853,1.16541,.0619095,2022-10-20 09:02:36,montalto,,420941,"new CTOI, Montalto (2022)"
8963901,8963901.01,,,,,,,,,PC,,11.2163,0.015,354.637088,-9.318778,9.894,0.091,-8.363,0.057,2458354.2775,,0.4847222,,157.14947,,134752.781321882,,1.86666666666667,,,,,,,,,,200.837113505247,,,,,,,,,,,,,,,,,,,,1465.31,107.12,6515,100,,,5.01577,,2019-12-29 08:24:43,lipponen,,8409,"new CTOI"
9099764,9099764.01,,,,,,,,,PC,,10.9202,0.006,60.140476,-5.576599,89.386,0.06,-46.912,0.042,2458462.6283,.0104,,,0.732728,0.455616,674.64,419.55,11.87,7.32,,,,,,,,,2.26,.62,,,,,,,,,,,,,,,,,,,129.484,.656,5036,128.467,4.55958,.0843617,.796388,.050005,2021-06-02 03:25:30,steuer,,97398,"Found with our in-house single transit finder"
9176290,9176290.01,,,,,,,,,PC,,10.5659,0.006,62.270417,-3.861213,60.1,0.059,28.452,0.052,2458443.2704,.0139,,,3.993485,0.036384,3671.38,33.51,2.13,0.85,,,,,,,,,4.45,.02,,,,,,,,,,,,,,,,,,,103.464,.44,5290,130.579,4.7418,.0812956,.672073,.0378895,2021-06-02 03:25:30,steuer,,97399,"Found with our in-house single transit finder"
9376051,9376051.01,,,,,,,,,PC,,9.97062,0.006,150.924045,39.005047,-6.17,0.075,-56.536,0.084,2458875.006,,,,1.771194,,1630,,6.864,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,168.06,1.6475,5961,123.669,4.35054,.0781307,1.15579,.0544095,2020-10-27 03:44:18,steuer,,36572,"Found with our in-house single transit finder; transit finder output attached under 'Files'"
