HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458883.84400,2020-02-04.3428868,bE,1.47,15.812,12.123,0.008,51.394,0.368,g
2458884.59475,2020-02-05.0936298,bi,1.44,15.640,12.085,0.009,53.211,0.437,g
2458884.59596,2020-02-05.0948517,bi,1.40,15.630,12.097,0.009,52.642,0.444,g
2458884.59721,2020-02-05.0960815,bi,1.39,15.610,12.111,0.010,51.935,0.443,g
2458884.84032,2020-02-05.3391918,bE,1.47,15.824,12.119,0.008,51.591,0.370,g
2458884.84160,2020-02-05.3404766,bE,1.46,15.814,12.140,0.008,50.569,0.373,g
2458884.84286,2020-02-05.3417399,bE,1.49,15.801,12.130,0.008,51.031,0.377,g
2458885.65016,2020-02-06.1490263,bi,1.42,15.623,12.257,0.011,45.444,0.434,g
2458885.65138,2020-02-06.1502516,bi,1.37,15.580,12.243,0.011,46.003,0.452,g
2458885.65260,2020-02-06.1514702,bi,1.37,15.538,12.237,0.011,46.288,0.466,g
2458885.83617,2020-02-06.3350380,bi,1.45,15.625,12.184,0.010,48.536,0.443,g
2458885.83740,2020-02-06.3362609,bi,1.52,15.637,12.190,0.010,48.334,0.437,g
2458885.83862,2020-02-06.3374828,bi,1.42,15.640,12.190,0.010,48.317,0.429,g
2458886.58235,2020-02-07.0812041,bi,1.41,15.526,12.227,0.011,46.669,0.476,g
2458886.58356,2020-02-07.0824204,bi,1.46,15.514,12.220,0.011,47.014,0.484,g
2458886.58478,2020-02-07.0836412,bi,1.43,15.473,12.266,0.012,45.015,0.498,g
2458887.83238,2020-02-08.3312256,bE,1.45,15.638,12.152,0.010,50.044,0.443,g
2458887.83366,2020-02-08.3325008,bE,1.45,15.531,12.132,0.011,50.955,0.476,g
2458888.57610,2020-02-09.0749320,bE,1.50,15.638,12.119,0.010,51.553,0.433,g
2458888.57738,2020-02-09.0762135,bE,1.45,15.625,12.120,0.010,51.536,0.434,g
2458888.57866,2020-02-09.0774953,bE,1.49,15.607,12.095,0.009,52.722,0.436,g
2458888.82403,2020-02-09.3228677,bE,1.55,15.483,12.118,0.011,51.616,0.496,g
2458888.82532,2020-02-09.3241488,bE,1.62,15.394,12.121,0.011,51.498,0.529,g
2458888.82661,2020-02-09.3254442,bE,1.58,15.477,12.101,0.011,52.463,0.497,g
2458889.62912,2020-02-10.1279444,bi,1.43,15.501,12.269,0.012,44.933,0.484,g
2458889.63033,2020-02-10.1291582,bi,1.37,15.562,12.282,0.012,44.367,0.463,g
2458889.63155,2020-02-10.1303762,bi,1.35,15.467,12.256,0.012,45.467,0.501,g
2458889.82806,2020-02-10.3268974,bE,1.43,15.466,12.190,0.012,48.323,0.502,g
2458889.82934,2020-02-10.3281725,bE,1.49,15.563,12.187,0.011,48.469,0.472,g
2458890.62472,2020-02-11.1235293,bi,1.39,15.526,12.246,0.012,45.877,0.470,g
2458890.62594,2020-02-11.1247503,bi,1.42,15.651,12.221,0.010,46.951,0.430,g
2458890.62716,2020-02-11.1259765,bi,1.42,15.624,12.255,0.011,45.496,0.441,g
2458890.81170,2020-02-11.3105116,bi,1.44,15.442,12.233,0.012,46.442,0.515,g
2458890.81293,2020-02-11.3117394,bi,1.50,15.415,12.236,0.013,46.324,0.518,g
2458890.81415,2020-02-11.3129682,bi,1.45,15.460,12.220,0.012,46.975,0.508,g
2458891.59787,2020-02-12.0966846,bi,1.38,15.660,12.161,0.010,49.630,0.436,g
2458891.60033,2020-02-12.0991399,bi,1.38,15.686,12.171,0.010,49.122,0.422,g
2458891.79480,2020-02-12.2936062,bE,1.47,15.622,12.152,0.010,50.047,0.447,g
2458891.79607,2020-02-12.2948805,bE,1.45,15.598,12.145,0.010,50.386,0.455,g
2458891.79735,2020-02-12.2961555,bE,1.48,15.698,12.113,0.009,51.886,0.411,g
2458892.79832,2020-02-13.2971208,bE,1.50,14.913,12.117,0.019,51.683,0.885,g
2458892.79959,2020-02-13.2983921,bE,1.46,14.938,12.066,0.017,54.157,0.810,g
2458892.80088,2020-02-13.2996784,bE,1.49,15.140,12.107,0.014,52.149,0.690,g
2458893.61906,2020-02-14.1178574,bi,1.48,15.789,12.248,0.009,45.787,0.378,g
2458893.62028,2020-02-14.1190700,bi,1.48,15.771,12.261,0.010,45.271,0.380,g
2458893.62150,2020-02-14.1202858,bi,1.47,15.781,12.269,0.010,44.907,0.384,g
2458893.80903,2020-02-14.3078189,bE,1.49,15.759,12.201,0.009,47.821,0.392,g
2458893.81031,2020-02-14.3090957,bE,1.45,15.748,12.207,0.009,47.533,0.398,g
2458893.81157,2020-02-14.3103604,bE,1.50,15.797,12.202,0.009,47.801,0.390,g
2458894.62990,2020-02-15.1286805,bi,1.49,15.744,12.255,0.010,45.493,0.392,g
2458894.63112,2020-02-15.1299021,bi,1.52,15.741,12.213,0.009,47.281,0.393,g
2458894.63235,2020-02-15.1311302,bi,1.45,15.748,12.226,0.009,46.733,0.395,g
2458894.81167,2020-02-15.3104479,bE,1.48,15.748,12.213,0.009,47.267,0.392,g
2458894.81296,2020-02-15.3117388,bE,1.44,15.780,12.224,0.009,46.820,0.382,g
2458894.81423,2020-02-15.3130116,bE,1.45,15.758,12.217,0.009,47.094,0.389,g
2458897.60920,2020-02-18.1079598,bi,1.43,15.800,12.282,0.010,44.378,0.375,g
2458897.61042,2020-02-18.1091913,bi,1.43,15.768,12.255,0.010,45.518,0.382,g
2458897.61165,2020-02-18.1104130,bi,1.43,15.791,12.264,0.009,45.150,0.378,g
2458897.80193,2020-02-18.3006915,bE,1.44,15.823,12.195,0.009,48.099,0.368,g
2458897.80448,2020-02-18.3032410,bE,1.45,15.819,12.196,0.008,48.019,0.362,g
2458898.81029,2020-02-19.3090410,bE,1.48,15.829,12.198,0.009,47.948,0.367,g
2458898.81156,2020-02-19.3103202,bE,1.44,15.851,12.218,0.009,47.060,0.358,g
2458898.81284,2020-02-19.3115982,bE,1.41,15.841,12.197,0.009,47.975,0.364,g
2458900.60540,2020-02-21.1041462,bE,1.45,15.878,12.118,0.008,51.604,0.353,g
2458900.60668,2020-02-21.1054225,bE,1.45,15.881,12.117,0.008,51.668,0.347,g
2458900.60794,2020-02-21.1066884,bE,1.49,15.874,12.107,0.008,52.178,0.351,g
2458902.26163,2020-02-22.7603723,bm,1.57,15.493,12.188,0.010,48.393,0.478,g
2458902.26307,2020-02-22.7618054,bm,1.52,14.404,12.204,0.030,47.683,1.283,g
2458903.52977,2020-02-24.0284951,bm,2.03,15.679,12.123,0.008,51.353,0.408,g
2458903.53098,2020-02-24.0297122,bm,2.02,15.683,12.150,0.008,50.119,0.406,g
2458903.53219,2020-02-24.0309283,bm,2.02,15.675,12.147,0.008,50.273,0.410,g
2458903.77501,2020-02-24.2737427,bE,1.45,15.746,12.108,0.009,52.093,0.391,g
2458903.77628,2020-02-24.2750111,bE,1.47,15.831,12.125,0.008,51.300,0.367,g
2458903.77755,2020-02-24.2762876,bE,1.50,15.832,12.124,0.007,51.338,0.360,g
2458904.72540,2020-02-25.2241240,bE,1.48,15.868,12.125,0.007,51.285,0.348,g
2458904.72668,2020-02-25.2254135,bE,1.49,15.846,12.121,0.007,51.454,0.357,g
2458904.72796,2020-02-25.2266871,bE,1.44,15.873,12.124,0.007,51.344,0.345,g
2458905.70863,2020-02-26.2073545,bi,1.45,15.753,12.208,0.009,47.508,0.389,g
2458905.70985,2020-02-26.2085787,bi,1.41,15.751,12.188,0.009,48.370,0.387,g
2458905.71107,2020-02-26.2097971,bi,1.36,15.752,12.203,0.009,47.732,0.388,g
2458907.29560,2020-02-27.7943259,bm,1.57,15.772,12.158,0.008,49.751,0.372,g
2458907.29686,2020-02-27.7955807,bm,1.71,15.747,12.145,0.008,50.370,0.383,g
2458907.29813,2020-02-27.7968518,bm,1.69,15.747,12.144,0.008,50.411,0.385,g
2458907.69986,2020-02-28.1985817,bi,1.39,15.686,12.109,0.009,52.027,0.411,g
2458907.70108,2020-02-28.1997990,bi,1.42,15.686,12.078,0.009,53.568,0.418,g
2458908.56816,2020-02-29.0668862,bE,1.49,15.865,12.109,0.007,52.008,0.348,g
2458908.56943,2020-02-29.0681569,bE,1.56,15.872,12.112,0.007,51.937,0.344,g
2458908.57072,2020-02-29.0694381,bE,1.56,15.888,12.108,0.007,52.097,0.342,g
2458909.55554,2020-03-01.0542550,bi,1.52,15.775,12.251,0.009,45.665,0.386,g
2458909.55676,2020-03-01.0554745,bi,1.49,15.767,12.261,0.009,45.235,0.379,g
2458909.55798,2020-03-01.0566928,bi,1.45,15.779,12.253,0.009,45.589,0.380,g
2458910.55726,2020-03-02.0559708,bi,2.03,15.735,12.219,0.010,47.037,0.395,g
2458910.55847,2020-03-02.0571914,bi,2.01,15.715,12.218,0.010,47.078,0.398,g
2458910.55969,2020-03-02.0584119,bi,1.99,15.725,12.209,0.009,47.462,0.391,g
2458911.56536,2020-03-03.0640831,bi,1.38,15.709,12.141,0.009,50.519,0.414,g
2458911.56658,2020-03-03.0653025,bi,1.41,15.701,12.156,0.009,49.825,0.408,g
2458911.56781,2020-03-03.0665219,bi,1.42,15.717,12.159,0.009,49.746,0.398,g
2458912.56180,2020-03-04.0605129,bE,1.47,15.829,12.126,0.007,51.240,0.361,g
2458912.56307,2020-03-04.0617802,bE,1.45,15.854,12.117,0.007,51.684,0.354,g
2458912.56434,2020-03-04.0630553,bE,1.47,15.839,12.121,0.007,51.510,0.357,g
2458913.60386,2020-03-05.1025804,bE,1.53,15.885,12.259,0.009,45.333,0.343,g
2458913.60514,2020-03-05.1038575,bE,1.50,15.874,12.268,0.009,44.963,0.350,g
2458913.60640,2020-03-05.1051212,bE,1.50,15.859,12.263,0.008,45.180,0.350,g
2458914.65211,2020-03-06.1508155,bi,1.61,99.990,99.990,99.990,99.990,99.990,g
2458914.65333,2020-03-06.1520357,bi,1.68,99.990,99.990,99.990,99.990,99.990,g
2458914.65455,2020-03-06.1532681,bi,1.25,99.990,99.990,99.990,99.990,99.990,g
2458916.41247,2020-03-07.9111788,bm,1.62,15.292,12.114,0.013,51.797,0.582,g
2458916.41368,2020-03-07.9123936,bm,1.49,15.301,12.111,0.013,51.963,0.583,g
2458916.41490,2020-03-07.9136097,bm,1.50,15.311,12.114,0.012,51.809,0.591,g
2458917.52190,2020-03-09.0206212,bi,1.44,15.538,12.261,0.012,45.274,0.476,g
2458917.52313,2020-03-09.02185,bi,1.46,15.398,12.256,0.013,45.437,0.529,g
2458921.73670,2020-03-13.2354186,bi,1.48,15.559,12.211,0.011,47.351,0.471,g
2458921.73792,2020-03-13.2366450,bi,1.44,15.519,12.199,0.011,47.905,0.488,g
2458921.73913,2020-03-13.2378611,bi,1.45,15.529,12.201,0.011,47.850,0.486,g
2458922.72413,2020-03-14.2228549,bi,1.38,14.979,12.218,0.018,47.073,0.784,g
2458922.72534,2020-03-14.2240688,bi,1.37,14.404,12.193,0.031,48.176,1.348,g
2458922.72657,2020-03-14.2252942,bi,1.54,13.943,12.173,0.053,49.114,2.376,g
2458923.47940,2020-03-14.9781295,bm,1.65,15.653,12.116,0.009,51.694,0.430,g
2458923.48062,2020-03-14.9793453,bm,1.61,15.651,12.113,0.008,51.851,0.418,g
2458923.48184,2020-03-14.9805694,bm,1.64,15.608,12.124,0.010,51.340,0.441,g
2458924.74151,2020-03-16.2402462,bE,1.48,15.775,12.135,0.009,50.841,0.393,g
2458926.27740,2020-03-17.7761424,bm,1.65,15.297,12.213,0.014,47.297,0.610,g
2458926.27872,2020-03-17.7774651,bm,1.64,15.621,12.174,0.010,49.029,0.450,g
2458926.28003,2020-03-17.7787712,bm,1.59,15.639,12.203,0.010,47.741,0.432,g
2458928.41951,2020-03-19.9182579,bm,1.56,15.735,12.116,0.009,51.738,0.396,g
2458928.42072,2020-03-19.9194765,bm,1.56,15.759,12.145,0.008,50.323,0.384,g
2458928.42193,2020-03-19.9206879,bm,1.51,15.745,12.123,0.009,51.382,0.394,g
2458931.41576,2020-03-22.9145282,bm,1.56,15.738,12.121,0.008,51.499,0.390,g
2458931.41698,2020-03-22.9157476,bm,1.56,15.732,12.123,0.008,51.379,0.391,g
2458931.41819,2020-03-22.9169662,bm,1.51,15.740,12.130,0.009,51.031,0.394,g
2458978.33853,2020-05-08.8379604,bm,1.61,15.477,12.152,0.011,50.019,0.494,g
2458978.33974,2020-05-08.8391671,bm,1.65,15.445,12.152,0.012,50.050,0.515,g
2458978.34095,2020-05-08.8403828,bm,1.57,15.393,12.139,0.012,50.624,0.535,g
2458983.32265,2020-05-13.8221815,bm,2.21,15.641,12.170,0.009,49.183,0.423,g
2458983.32387,2020-05-13.8234038,bm,2.16,15.642,12.163,0.009,49.540,0.415,g
2458983.32509,2020-05-13.8246232,bm,2.20,15.625,12.141,0.009,50.540,0.429,g
2458984.32984,2020-05-14.8293953,bm,1.56,15.179,12.201,0.015,47.795,0.668,g
2458984.33114,2020-05-14.8306909,bm,1.49,15.440,12.130,0.011,51.068,0.534,g
2458985.32741,2020-05-15.8269973,bm,1.50,15.686,12.140,0.008,50.558,0.406,g
2458986.32291,2020-05-16.8225075,bm,1.52,15.726,12.128,0.009,51.161,0.397,g
2458986.32412,2020-05-16.8237187,bm,1.58,15.735,12.144,0.009,50.379,0.398,g
2458986.32533,2020-05-16.8249299,bm,1.53,15.749,12.177,0.009,48.875,0.387,g
2458989.29856,2020-05-19.7982199,bm,1.51,15.737,12.165,0.009,49.454,0.392,g
2458989.29978,2020-05-19.7994350,bm,1.54,15.753,12.167,0.009,49.338,0.392,g
2458989.30099,2020-05-19.8006557,bm,1.52,15.768,12.201,0.009,47.838,0.384,g
2458991.30710,2020-05-21.8068039,bm,1.47,15.669,12.184,0.010,48.563,0.417,g
2458991.30832,2020-05-21.8080212,bm,1.51,15.677,12.188,0.010,48.370,0.416,g
2458991.30954,2020-05-21.8092350,bm,1.59,15.671,12.188,0.010,48.416,0.425,g
2459000.28257,2020-05-30.7824671,bm,1.56,15.621,12.158,0.010,49.744,0.446,g
2459000.28379,2020-05-30.7836850,bm,1.53,15.671,12.170,0.010,49.233,0.420,g
2459000.28502,2020-05-30.7849126,bm,1.61,15.646,12.151,0.010,50.111,0.427,g
2459003.26887,2020-06-02.7688239,bm,1.48,15.425,12.138,0.012,50.685,0.523,g
2459003.27008,2020-06-02.7700387,bm,1.57,15.374,12.173,0.012,49.092,0.554,g
2459003.27130,2020-06-02.7712594,bm,1.54,15.316,12.155,0.013,49.889,0.574,g
2459008.21853,2020-06-07.7185975,bm,1.49,15.701,12.160,0.009,49.681,0.406,g
2459008.21975,2020-06-07.7198185,bm,1.49,15.698,12.156,0.009,49.872,0.407,g
2459008.22096,2020-06-07.7210298,bm,1.48,15.701,12.143,0.009,50.436,0.411,g
2459015.22967,2020-06-14.7298966,bm,1.58,15.718,12.159,0.009,49.728,0.400,g
2459015.23090,2020-06-14.7311182,bm,1.53,15.713,12.152,0.008,50.004,0.398,g
2459015.23211,2020-06-14.7323343,bm,1.54,15.717,12.167,0.009,49.336,0.400,g
2459017.21529,2020-06-16.7155520,bm,1.61,15.722,12.184,0.008,48.568,0.395,g
2459017.21650,2020-06-16.7167666,bm,1.58,15.731,12.190,0.008,48.314,0.383,g
2459017.21771,2020-06-16.7179745,bm,1.55,15.731,12.198,0.008,47.939,0.388,g
2459023.20598,2020-06-22.7063737,bm,1.70,15.738,12.181,0.008,48.699,0.388,g
2459023.20722,2020-06-22.7076094,bm,1.64,15.740,12.180,0.008,48.762,0.389,g
2459083.67175,2020-08-22.1730269,bm,1.55,15.620,12.195,0.010,48.117,0.432,g
2459083.67298,2020-08-22.1742512,bm,1.56,15.513,12.202,0.010,47.756,0.473,g
2459083.67419,2020-08-22.1754582,bm,1.57,15.468,12.185,0.011,48.523,0.492,g
2459085.66857,2020-08-24.1698481,bm,1.59,13.934,12.180,0.044,48.755,1.968,g
2459085.66977,2020-08-24.1710583,bm,1.67,99.990,99.990,99.990,99.990,99.990,g
2459085.67101,2020-08-24.1722858,bm,1.58,14.665,12.161,0.023,49.610,1.025,g
2459086.66136,2020-08-25.1626461,bm,1.50,15.740,12.157,0.009,49.792,0.393,g
2459086.66259,2020-08-25.1638762,bm,1.48,15.702,12.141,0.009,50.556,0.404,g
2459086.66381,2020-08-25.1650909,bm,1.49,15.688,12.122,0.008,51.416,0.405,g
2459096.65571,2020-09-04.1570254,bm,1.53,15.498,12.126,0.010,51.240,0.480,g
2459096.65693,2020-09-04.1582460,bm,1.53,15.464,12.116,0.010,51.734,0.493,g
2459096.65816,2020-09-04.1594655,bm,1.52,15.460,12.133,0.010,50.909,0.495,g
2459110.61671,2020-09-18.1179938,bm,1.45,15.703,12.179,0.009,48.834,0.416,g
2459110.61793,2020-09-18.1192064,bm,1.48,15.699,12.193,0.009,48.159,0.403,g
2459110.61913,2020-09-18.1204165,bm,1.53,15.691,12.178,0.009,48.845,0.408,g
2459111.64167,2020-09-19.1429405,bm,1.61,15.676,12.144,0.008,50.366,0.408,g
2459111.64288,2020-09-19.1441608,bm,1.59,15.636,12.118,0.009,51.598,0.423,g
2459111.64410,2020-09-19.1453793,bm,1.52,15.615,12.131,0.009,51.033,0.431,g
2459114.61401,2020-09-22.1152729,bm,2.06,15.691,12.178,0.009,48.822,0.401,g
2459114.61523,2020-09-22.1164922,bm,2.04,15.700,12.180,0.008,48.775,0.397,g
2459114.61647,2020-09-22.1177247,bm,2.25,15.670,12.176,0.009,48.964,0.412,g
2459115.59975,2020-09-23.1010024,bm,1.49,15.705,12.127,0.008,51.179,0.400,g
2459115.60096,2020-09-23.1022118,bm,1.58,15.709,12.145,0.009,50.388,0.402,g
2459115.60217,2020-09-23.1034303,bm,1.53,15.730,12.161,0.008,49.609,0.393,g
2459121.58392,2020-09-29.0851351,bm,2.03,15.494,12.144,0.011,50.389,0.486,g
2459121.58514,2020-09-29.0863524,bm,2.03,15.496,12.148,0.011,50.221,0.483,g
2459121.58637,2020-09-29.0875766,bm,2.05,15.533,12.123,0.010,51.402,0.475,g
2459122.58069,2020-09-30.0818924,bm,1.58,15.546,12.192,0.010,48.216,0.460,g
2459122.58191,2020-09-30.0831140,bm,1.55,15.537,12.170,0.010,49.235,0.460,g
2459122.58314,2020-09-30.0843393,bm,1.56,15.526,12.178,0.010,48.862,0.468,g
2459128.56457,2020-10-06.0657063,bm,1.60,15.552,12.129,0.010,51.117,0.465,g
2459128.56579,2020-10-06.0669246,bm,1.55,15.540,12.107,0.009,52.167,0.463,g
2459128.56700,2020-10-06.0681408,bm,1.60,15.516,12.165,0.010,49.429,0.467,g
2459129.57223,2020-10-07.0733608,bm,1.45,15.620,12.145,0.010,50.335,0.435,g
2459129.57345,2020-10-07.0745795,bm,1.46,15.626,12.144,0.010,50.367,0.433,g
2459129.57468,2020-10-07.0758081,bm,1.48,15.628,12.162,0.009,49.558,0.428,g
2459129.61276,2020-10-07.1138910,bm,1.46,15.638,12.159,0.009,49.696,0.424,g
2459129.61398,2020-10-07.1151107,bm,1.48,15.637,12.155,0.010,49.907,0.427,g
2459129.61519,2020-10-07.1163251,bm,1.50,15.621,12.145,0.009,50.333,0.430,g
2459130.60575,2020-10-08.1068658,bm,1.45,15.661,12.148,0.009,50.221,0.415,g
2459130.60698,2020-10-08.1080952,bm,1.50,15.668,12.165,0.010,49.453,0.418,g
2459130.60820,2020-10-08.1093128,bm,1.44,15.645,12.162,0.009,49.589,0.423,g
2459134.52653,2020-10-12.0275986,bm,1.55,15.713,12.160,0.008,49.692,0.398,g
2459134.52776,2020-10-12.0288291,bm,1.59,15.704,12.147,0.008,50.248,0.402,g
2459134.52899,2020-10-12.0300538,bm,1.56,15.717,12.141,0.008,50.520,0.391,g
2459136.54629,2020-10-14.0473312,bm,1.55,15.728,12.149,0.008,50.141,0.390,g
2459136.54751,2020-10-14.0485474,bm,1.52,15.715,12.118,0.008,51.638,0.397,g
2459136.54872,2020-10-14.0497628,bm,1.55,15.729,12.125,0.008,51.286,0.387,g
2459138.55899,2020-10-16.0600009,bm,1.66,15.743,12.157,0.009,49.824,0.389,g
2459138.56023,2020-10-16.0612340,bm,1.64,15.735,12.162,0.008,49.606,0.387,g
2459138.56144,2020-10-16.0624479,bm,1.65,15.733,12.155,0.009,49.893,0.394,g
2459138.58907,2020-10-16.0900835,bm,1.53,15.755,12.167,0.008,49.320,0.380,g
2459138.59030,2020-10-16.0913101,bm,1.67,15.741,12.160,0.008,49.697,0.388,g
2459138.61487,2020-10-16.1158804,bm,1.61,15.710,12.146,0.008,50.324,0.399,g
2459140.52995,2020-10-18.0309321,bm,1.51,15.713,12.125,0.009,51.283,0.402,g
2459140.53116,2020-10-18.0321503,bm,1.51,15.721,12.127,0.008,51.167,0.395,g
2459140.53239,2020-10-18.0333744,bm,1.49,15.730,12.125,0.008,51.303,0.393,g
2459140.55663,2020-10-18.0576118,bm,1.52,15.754,12.154,0.008,49.972,0.381,g
2459140.55784,2020-10-18.0588231,bm,1.49,15.732,12.134,0.009,50.895,0.397,g
2459140.55906,2020-10-18.0600427,bm,1.49,15.758,12.160,0.008,49.624,0.379,g
2459144.53233,2020-10-22.0332513,bm,1.49,15.735,12.125,0.008,51.294,0.390,g
2459144.53354,2020-10-22.0344609,bm,1.54,15.736,12.126,0.008,51.229,0.386,g
2459144.53478,2020-10-22.0357030,bm,1.51,15.757,12.135,0.008,50.825,0.379,g
2459146.75795,2020-10-24.2588324,bE,1.54,15.851,12.140,0.008,50.622,0.357,g
2459146.75924,2020-10-24.2601259,bE,1.44,15.852,12.158,0.007,49.728,0.353,g
2459146.76052,2020-10-24.2614045,bE,1.49,15.880,12.183,0.008,48.591,0.345,g
2459147.50001,2020-10-25.0008811,bm,1.47,15.600,12.156,0.010,49.856,0.441,g
2459147.50121,2020-10-25.0020856,bm,1.51,15.594,12.123,0.010,51.407,0.447,g
2459147.50244,2020-10-25.0033062,bm,1.47,15.616,12.150,0.010,50.113,0.436,g
2459147.51953,2020-10-25.0204028,bm,1.47,99.990,99.990,99.990,99.990,99.990,g
2459147.52075,2020-10-25.0216223,bm,1.50,15.671,12.116,0.008,51.722,0.413,g
2459147.52198,2020-10-25.0228490,bm,1.48,15.676,12.173,0.009,49.108,0.413,g
2459147.59102,2020-10-25.0918907,bm,1.50,15.676,12.149,0.009,50.149,0.420,g
2459147.59223,2020-10-25.0931045,bm,1.48,15.682,12.139,0.009,50.656,0.412,g
2459147.59346,2020-10-25.0943267,bm,1.50,15.643,12.141,0.010,50.555,0.437,g
2459148.50462,2020-10-26.0054812,bm,1.54,15.576,12.116,0.009,51.701,0.442,g
2459148.50584,2020-10-26.0066986,bm,1.47,15.652,12.136,0.010,50.778,0.424,g
2459148.50706,2020-10-26.0079156,bm,1.52,15.633,12.111,0.008,51.972,0.422,g
2459148.86615,2020-10-26.3670054,bE,1.46,15.850,12.131,0.007,51.001,0.347,g
2459148.86745,2020-10-26.3682934,bE,1.46,15.832,12.136,0.007,50.750,0.360,g
2459148.86873,2020-10-26.3695783,bE,1.42,15.834,12.127,0.008,51.211,0.360,g
2459149.49778,2020-10-26.9986118,bm,1.50,15.644,12.173,0.010,49.070,0.437,g
2459149.49899,2020-10-26.9998277,bm,1.53,15.673,12.166,0.010,49.360,0.414,g
2459149.50021,2020-10-27.0010452,bm,1.55,15.637,12.159,0.009,49.701,0.425,g
2459150.49591,2020-10-27.9967241,bm,1.57,15.534,12.133,0.011,50.906,0.469,g
2459150.49734,2020-10-27.9981560,bm,1.48,15.531,12.148,0.010,50.247,0.466,g
2459150.49859,2020-10-27.9994129,bm,1.52,15.493,12.155,0.010,49.929,0.479,g
2459152.76702,2020-10-30.2677996,bE,1.48,15.671,12.148,0.009,50.222,0.426,g
2459152.76831,2020-10-30.2690929,bE,1.40,15.674,12.130,0.008,51.064,0.412,g
2459152.76961,2020-10-30.2703907,bE,1.42,15.735,12.133,0.009,50.927,0.398,g
2459153.76385,2020-10-31.2646109,bi,1.43,15.352,12.180,0.013,48.760,0.560,g
2459153.76507,2020-10-31.2658305,bi,1.40,15.466,12.186,0.012,48.506,0.499,g
2459153.76630,2020-10-31.2670635,bi,1.43,15.461,12.183,0.012,48.602,0.502,g
2459154.49787,2020-10-31.9986238,bm,1.56,15.442,12.136,0.011,50.809,0.507,g
2459154.49909,2020-10-31.9998398,bm,1.54,15.440,12.174,0.011,49.025,0.504,g
2459154.50033,2020-11-01.0010781,bm,1.56,15.448,12.147,0.010,50.275,0.498,g
2459155.52709,2020-11-02.0278189,bm,1.56,15.555,12.142,0.010,50.500,0.461,g
2459155.52830,2020-11-02.0290281,bm,1.58,15.547,12.117,0.009,51.664,0.460,g
2459155.52951,2020-11-02.0302418,bm,1.51,15.546,12.148,0.010,50.191,0.463,g
2459155.77685,2020-11-02.2775760,bE,1.48,15.677,12.145,0.009,50.364,0.419,g
2459155.77814,2020-11-02.2788628,bE,1.55,15.677,12.119,0.009,51.596,0.413,g
2459155.77942,2020-11-02.2801473,bE,1.46,15.682,12.146,0.009,50.288,0.411,g
2459156.52089,2020-11-03.0216039,bm,1.59,14.941,12.191,0.018,48.271,0.832,g
2459156.52211,2020-11-03.0228233,bm,1.55,14.763,12.279,0.023,44.492,0.945,g
2459156.52333,2020-11-03.0240383,bm,1.54,15.010,12.171,0.017,49.189,0.756,g
2459156.75548,2020-11-03.2561850,bE,1.47,15.779,12.150,0.008,50.107,0.375,g
2459156.75677,2020-11-03.2574784,bE,1.47,15.767,12.141,0.009,50.559,0.384,g
2459156.75805,2020-11-03.2587652,bE,1.47,15.723,12.134,0.009,50.873,0.400,g
2459157.53951,2020-11-04.0401997,bm,1.60,15.563,12.174,0.010,49.024,0.453,g
2459157.54072,2020-11-04.0414170,bm,1.68,15.637,12.183,0.010,48.628,0.428,g
2459157.54194,2020-11-04.0426319,bm,1.62,15.622,12.212,0.010,47.345,0.431,g
2459157.83266,2020-11-04.3333468,bi,1.40,15.644,12.174,0.010,48.996,0.429,g
2459157.83390,2020-11-04.3345818,bi,1.41,99.990,99.990,99.990,99.990,99.990,g
2459157.83513,2020-11-04.3358094,bi,1.39,99.990,99.990,99.990,99.990,99.990,g
2459162.85873,2020-11-09.3593143,bi,1.70,15.637,12.163,0.010,49.552,0.430,g
2459162.85995,2020-11-09.3605317,bi,1.69,15.637,12.149,0.010,50.187,0.430,g
2459162.86117,2020-11-09.3617487,bi,1.73,15.619,12.164,0.010,49.480,0.443,g
2459164.78382,2020-11-11.2843704,bi,1.66,15.742,12.120,0.009,51.526,0.392,g
2459164.78505,2020-11-11.2855968,bi,1.70,15.743,12.159,0.009,49.704,0.392,g
2459164.78627,2020-11-11.2868185,bi,1.59,15.768,12.136,0.008,50.785,0.380,g
2459165.70730,2020-11-12.2078280,bi,1.44,15.744,12.163,0.009,49.521,0.391,g
2459165.70853,2020-11-12.2090561,bi,1.41,15.757,12.169,0.009,49.251,0.392,g
2459165.70976,2020-11-12.2102827,bi,1.43,15.747,12.156,0.009,49.836,0.397,g
2459165.78542,2020-11-12.2859428,bi,1.39,15.772,12.169,0.008,49.255,0.379,g
2459165.78664,2020-11-12.2871637,bi,1.44,15.774,12.160,0.009,49.671,0.386,g
2459165.78787,2020-11-12.2883940,bi,1.39,15.764,12.167,0.009,49.340,0.387,g
2459166.71263,2020-11-13.2131340,bE,1.52,15.867,12.163,0.007,49.533,0.349,g
2459166.71391,2020-11-13.2144192,bE,1.49,15.871,12.151,0.007,50.094,0.346,g
2459166.71521,2020-11-13.2157178,bE,1.46,15.869,12.156,0.007,49.871,0.346,g
2459167.69188,2020-11-14.1923672,bE,1.48,15.851,12.150,0.008,50.134,0.360,g
2459167.69317,2020-11-14.1936604,bE,1.48,15.851,12.151,0.008,50.044,0.361,g
