HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456995.72316,2014-12-04.2228115,be,1.69,15.385,11.770,0.008,75.174,0.574,V
2456997.71894,2014-12-06.2185384,be,1.45,15.315,11.764,0.009,75.524,0.610,V
2456997.72036,2014-12-06.2199663,be,1.53,15.364,11.756,0.008,76.096,0.577,V
2456999.71812,2014-12-08.2176837,be,1.53,15.439,11.779,0.007,74.565,0.543,V
2456999.71955,2014-12-08.2191091,be,1.51,15.413,11.779,0.008,74.552,0.545,V
2457002.71366,2014-12-11.2131554,be,1.47,15.442,11.738,0.007,77.335,0.539,V
2457003.71578,2014-12-12.2152537,be,1.52,15.434,11.776,0.007,74.787,0.543,V
2457003.71722,2014-12-12.2166884,be,1.49,15.349,11.767,0.008,75.334,0.583,V
2457005.72020,2014-12-14.2196222,be,1.40,15.502,11.764,0.007,75.622,0.513,V
2457005.72162,2014-12-14.2210469,be,1.43,15.508,11.767,0.007,75.362,0.511,V
2457006.74387,2014-12-15.2432682,be,1.41,15.498,11.752,0.007,76.423,0.513,V
2457006.74531,2014-12-15.2447101,be,1.44,15.520,11.755,0.007,76.205,0.500,V
2457008.70819,2014-12-17.2075450,be,1.39,15.523,11.782,0.007,74.359,0.500,V
2457008.70962,2014-12-17.2089733,be,1.46,15.512,11.794,0.007,73.465,0.511,V
2457010.72813,2014-12-19.2274416,be,1.42,15.518,11.757,0.007,76.020,0.511,V
2457011.71796,2014-12-20.2172478,be,1.47,15.520,11.779,0.007,74.522,0.502,V
2457011.71938,2014-12-20.2186725,be,1.45,15.531,11.770,0.007,75.119,0.496,V
2457013.71559,2014-12-22.2148361,be,1.53,15.513,11.763,0.008,75.643,0.516,V
2457013.71702,2014-12-22.2162629,be,1.46,15.503,11.757,0.008,76.051,0.520,V
2457015.69909,2014-12-24.1982859,be,1.49,15.503,11.771,0.007,75.075,0.511,V
2457015.70052,2014-12-24.1997238,be,1.53,15.512,11.773,0.007,74.924,0.508,V
2457018.69869,2014-12-27.1978296,be,1.53,15.497,11.759,0.007,75.939,0.513,V
2457018.70012,2014-12-27.1992568,be,1.58,15.502,11.762,0.007,75.726,0.508,V
2457020.71079,2014-12-29.2098814,be,1.50,15.514,11.793,0.007,73.528,0.505,V
2457020.71222,2014-12-29.2113206,be,1.56,15.512,11.789,0.007,73.793,0.504,V
2457022.70418,2014-12-31.2032327,be,1.49,15.455,11.759,0.008,75.920,0.542,V
2457022.70559,2014-12-31.2046457,be,1.45,15.464,11.744,0.008,76.994,0.537,V
2457024.70360,2015-01-02.2026144,be,1.53,15.456,11.780,0.007,74.482,0.535,V
2457024.70502,2015-01-02.2040291,be,1.52,15.465,11.794,0.008,73.516,0.533,V
2457026.69213,2015-01-04.1911019,be,1.65,15.404,11.757,0.008,76.073,0.565,V
2457026.69354,2015-01-04.1925127,be,1.65,15.370,11.736,0.008,77.534,0.577,V
2457027.69270,2015-01-05.1916591,be,1.60,15.244,11.766,0.009,75.436,0.645,V
2457027.69413,2015-01-05.1930865,be,1.64,15.089,11.773,0.011,74.931,0.749,V
2457030.70563,2015-01-08.2045273,be,1.57,15.431,11.759,0.007,75.927,0.546,V
2457030.70705,2015-01-08.2059409,be,1.64,15.458,11.744,0.008,76.974,0.544,V
2457032.79030,2015-01-10.2891542,be,1.62,15.460,11.762,0.007,75.695,0.527,V
2457032.79173,2015-01-10.2905827,be,1.59,15.433,11.774,0.008,74.902,0.554,V
2457034.68730,2015-01-12.1861188,be,1.66,15.480,11.742,0.007,77.132,0.517,V
2457034.69092,2015-01-12.1897379,be,1.68,15.484,11.746,0.007,76.783,0.526,V
